filename,keys,requirement
0000 - cctns.txt,G.D0.6.17,"Using appropriate formats, units of measurement or currency:  When designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable."
0000 - cctns.txt,G.D0.6.18,"Making text resizable by the user: Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e. see ISO 9241-171."
0000 - cctns.txt,G.D0.6.19,Text quality: The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.
0000 - cctns.txt,G.D0.6.20,"Writing style: The reading and understanding of the textual content on the screen should be supported by suitable means, including th e use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points."
0000 - cctns.txt,G.D0.6.21,"Supporting text skimming: Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences."
0000 - cctns.txt,G.D0.6.22,Readability of text: Text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement. ISO 9241-303 shall be consulted for screen text legibility requirements.
0000 - cctns.txt,G.D0.6.23,Distinguishable within-page links: Within-page links should be clearly distinguishable from other links that lead to a different page. EX. Within-page links are shown with dashed rather than solid under lines
0000 - cctns.txt,G.D0.6.24,Avoiding link overload:  Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.
0000 - cctns.txt,G.D0.6.25,"Using familiar terminology for navigation links: Navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using ot her systems."
0000 - cctns.txt,G.D0.6.26,"Using descriptive link labels: The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its con text on the page or the labels have commonly understood semantics in the particular application domain. Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand."
0000 - cctns.txt,G.D0.6.27,Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.
0000 - cctns.txt,G.D0.6.28,"Distinguishing navigation links from controls: Navigation links should be clearly distinguishable from controls activating some action.  Typical action types in user interfaces include manipulating application data, performing searches, communication actions, such as opening a new e-mail window or starting a chat function, and presentation-related actions, such as sorting a list of search results."
0000 - cctns.txt,G.D0.6.29,"Providing printable document versions: If a document is either too long, dispersed over several pages or in a specific layout that is not suitable for online reading, a printer-friendly version of the document should be provided that prints the content in a form acceptable to the user (e.g. in the expected layout, paper format, or orientation)."
0000 - cctns.txt,G.D0.6.30,"Use of “white space”: “White space” on a page i.e.  space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page. While white space is an important means of visually organizing the different content elements on a page, if the distance between the blocks of information displayed becomes too large, rapid skimming of the page can be impeded."
0000 - cctns.txt,G.D0.6.31,"Selecting appropriate page lengths: The length of a page should be selected so as to support the primary purpose and use of the page. Short pages are generally more appropriate for homepages, navigation pages, or overview pages that need to be read quickly. Longer pages can be more appropriate when users want to read the content without interruptions or when the page needs to match a paper counterpart."
0000 - cctns.txt,G.D0.6.32,"Using colour: Colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information. Color should never be the only means of coding. Some users may have difficulties in perceiving certain colors or color combinations (color-blindness)."
0000 - cctns.txt,G.D0.6.33,"Using frames with care: If frames are used, care should be taken to avoid possible problems, for example, those involving the use of the back button, bookmarking of pages, or scrolling of information. When frames are used, it is important to title each frame, and to describe its purpose and how frames relate to one another other."
0000 - cctns.txt,G.D0.6.34,"Providing alternatives to frame-based presentation:  If frames are used, an alternative way of presenting relevant information without frames should be provided. Providing alternative text-only pages: When style sheets and/or frames are turned off it should be possible for the user t o read and understand the page; alternatively, the user should be provided with an equivalent alternative text-only page."
0000 - cctns.txt,G.D0.6.35,"Consistent page layout: Pages should be designed using consistent layout schemes, supporting the user in finding similar information at the same position on different pages. Overall layout schemes apply to all pages and are preferable when all pages have a similar structure. Frequently, however, different pages have different purposes and types of content. In such cases, pages can usually be grouped in different categories, using one layout scheme for each category consistently."
0000 - cctns.txt,G.D0.6.36,Placing title information consistently: Page titles should be placed in a consistent location on the different pages.
0000 - cctns.txt,G.D0.6.37,"Observing principles of human perception When designing application pages, the general principles of human perception should be taken into account. The International Standards mentioned below shall be consulted for guidance. Practical guidelines for presenting information to the user are to be found in ISO 9241-12. Guidance on selecting and using different forms of interaction techniques is to be found in ISO 9241-14 to ISO 9241-17. ISO 9241-14 gives guidance about menus, ISO 9241-15 about command dialogues, ISO 9241-16 ab out direct manipulation and ISO 9241-17 about forms. In addition, when designing multimedia information presentations, the design principles and recommendations described in ISO 14915-1 to ISO 14915-3 should be taken into account. Appropriate content presentation also plays a key role in accessibility."
0000 - cctns.txt,G.D0.6.38,Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.
0000 - cctns.txt,G.D0.6.39,Providing a site map: A separate navigation overview such as a site map should be provided for application showing the structure of the site in an overview form.
0000 - cctns.txt,G.D0.6.40,"Consistency between navigation components and content: If navigation components (or overviews) are shown in conjunction with associated content, consistency between the navigation component and the content shown should be maintained by indicating in the navigation component (e.g. highlighting) the topic currently visible in the content area."
0000 - cctns.txt,G.D0.6.41,Placing navigation components consistently: Navigation components should be placed consistently on the pages or in the frameset s in the pages of the application.
0000 - cctns.txt,G.D0.6.42,"Individualization and user adaptation: Adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient. User adaptation can also be important for making the user interface more accessible. Different approaches can be used for achieving these goals, like providing users with me and for customizing the user interface to their personal needs i.e. individualization designing content and navigation differently for varying user groups or roles i.e. such as employees of different levels, citizens etc, monitoring the user’s behaviour and adapting to the user’s goals that are inferred from the behaviour observed, recommending information that is potentially more relevant or interesting to the specific user, based on the behaviour of all users or a user group."
0000 - cctns.txt,G.D0.6.43,"Taking account of the users’ tasks and information needs: When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration."
0000 - cctns.txt,G.D0.6.44,Making individualization and adaptation evident: It should be made evident to the user when individualization and/or adaptation are used.
0000 - cctns.txt,G.D0.6.45,"Making user profiles evident: If predefined user profiles or user-specified profiles are used for individualizing or adapting content, the profile currently used should be made evident. If profiles are used, it is important to provide users with information about this concept and its implications."
0000 - cctns.txt,G.D0.6.46,"Allowing users to see and change profiles: If user- specified profiles are used, users should be able to see, modify and delete that profile on demand."
0000 - cctns.txt,G.D0.6.47,The user interfaces of the system should follow the guidelines specified under www.usability.gov
0000 - cctns.txt,G.D0.7.1,The System must be available to users: • from <xx:00> to <xx:00>; • on <all weekdays/xxx days per year>.
0000 - cctns.txt,G.D0.7.2,The planned downtime for the System must not exceed <xx> hours per <rolling three month period>. The System is considered to be down if any user is unable to perform any normal System function and if this failure is attributed to any component of the System other than the workstation.
0000 - cctns.txt,G.D0.7.3,Unplanned downtime for the System must not exceed < xx hours/minutes> per <rolling three month period>.
0000 - cctns.txt,G.D0.7.4,The number of incidents of unplanned downtime for the System must not exceed <x> per <rolling three month period>.
0000 - cctns.txt,G.D0.7.5,"In the event of any software or hardware failure, i t must be possible to restore the System (with inline synchronization) within no more than <xx> hours."
0000 - cctns.txt,G.D0.8.1,The System must provide adequate response times for commonly performed functions under both standard and peak conditions
0000 - cctns.txt,G.D0.8.2,"The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 1 0-15 seconds regardless of the storage capacity or number of cases in the system. In this context, performing a search means returning a result list.  It does not include retrieving the records themselves."
0000 - cctns.txt,G.D0.8.3,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for rapid retrieval of frequently-used cases, on the understanding that frequency of use is typically correlated with recent use."
0000 - cctns.txt,G.D0.8.4,"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for cases where cases used infrequently are stored on slower media than more active records."
0000 - cctns.txt,G.D0.8.5,"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled."
0000 - cctns.txt,G.D0.9.1,The system should support multilingual interface
0000 - cctns.txt,G.D0.9.2,The system should be designed in manner that operational data is not lost in case of any failure of equipment or communication network.
0000 - cctns.txt,G.D0.9.3,The system should work even in an offline mode with the critical functionality
0000 - cctns.txt,G.D0.9.4,The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth
0000 - cctns.txt,G.D0.9.5,The system should be implemented using Service Oriented Architecture (SOA) and have a modular design
0000 - cctns.txt,G.D0.9.6,The system should be developed on Open Standards
0000 - cctns.txt,G.D0.9.7,The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user
0000 - cctns.txt,G.D0.9.8,The system should be developed for a centralized deployment and maintenance
0000 - cctns.txt,G.D0.9.9,The system should be developed to be deployed in a 3-tier datacenter architecture
0000 - cctns.txt,G.D0.9.10,The system should be designed to have a n-tier architecture with the presentation logic separated from the business logic that is again separated from the data-access logic
0000 - cctns.txt,G.D0.9.11,The system should be extensible to provide access to the interfaces through PDA’s and mobile data terminals
0000 - cctns.txt,G.D0.9.12,The system should adopt standardized formats and common metadata elements
0000 - cctns.txt,G.D0.9.13,The system should be designed for access through browser-based systems and must impose minimal requirements on the client device
0000 - cctns.txt,G.D0.9.14,The system must support multiple types of communication services for remote access
0000 - cctns.txt,G.D0.9.15,The system should have capability to support public access to a subset of data and functionality
0000 - cctns.txt,G.D0.9.16,The system should support multi-tier authentication where required
0000 - cctns.txt,G.D0.9.17,The system should support SSL encrypted connections
0000 - cctns.txt,G.D0.9.18,The system should support secure virtual private network connections
0000 - cctns.txt,G.D0.9.19,"The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL)"
0000 - cctns.txt,G.D0.9.20,The system should run on multiple browsers
0000 - cctns.txt,G.D0.9.21,The system should support selective encryption of the stored data
0000 - cctns.txt,G.D0.9.22,The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures
0000 - cctns.txt,G.D0.9.23,The system should ensure high standards of security and access control through: a)  Prevent cross-site scripting  b)  Validate the incoming data / user request c)  Encode the incoming data / user request  d)  Prevent SQL Injection e)  Utilize parameterized queries f)  Sanitize the user-inputs g)  Validate the data both at the client and server h)  Do not allow hard delete and perform only soft tagging the row for deletion
0000 - cctns.txt,G.D0.9.24,"The system should ensure high scalability and performance through: a)  Use of cache for storing frequent data  b)  Use of AJAX based technology to improve user experience. Aggressive page loading to be considered based on the screen and estimate usage pattern  c)  Leverage Asynchronous HTTP socket capabilities of we b server for scalability and performance  d)  Host all the static content (documents, images) on the web server  e)  The search results should be fetched from the database in batches of 10 or 20 maximum as configured within the application  f)  Display of records on the screen in batches/paged manner g)  The search should fetch only the fields that need to be displayed to the user. Only when the user clicks on a particular record to view its further details should a query be fired to fetch the additional details for this particular record only h) A hierarchical cache should be configured and used for caching of results of most frequently used searches i)  Database Indexes should applied on the key columns used for searching."
0000 - gamma j.txt,G.D1.2.4.1,"Web Store shall operate with the following internet browsers: Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5."
0000 - gamma j.txt,G.D1.2.4.2,"Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server.  The operating system is designed by the Yoggie Corporation.  Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system."
0000 - gamma j.txt,G.D1.2.4.3,The system shall use SQL based database to store inventory information.
0000 - gamma j.txt,G.D1.2.4.4,USB interface and divers are provided by Yoggie Corporation.
0000 - gamma j.txt,G.D1.2.5.1,Must use a SQL based database.  SQL standard is the most widely used database format.  Restricting to SQL allows easy of use and compatibility for Web Store.
0000 - gamma j.txt,G.D1.2.5.1,"Compatibility is only tested and verified for Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5.  Other versions may not be 100% compatible.  Also other browsers such as Mozilla or Firefox may not be 100% compatible."
0000 - gamma j.txt,G.D1.2.6.1,The user documentation shall install online help for users via the web interface
0000 - gamma j.txt,G.D1.2.6.2,"The user documentation shall deliver Operations and Maintenance manual, Users Guide book, and Installation Instructions for the Administrator."
0000 - gamma j.txt,G.D1.2.7.1,"Assume the delivery of development, test and evaluate samples of the USB system from Yoggie."
0000 - gamma j.txt,G.D1.2.7.2,Assume Yoggie will freeze the baseline of the USB system after delivery.
0000 - gamma j.txt,G.D1.3.1.1.1,"Customers will be able to create accounts to store their profiles, contact information, purchase history, and confirm orders. This is a high priority system feature. Security methods will ensure that customer accounts remain confidential and resistant to tampering."
0000 - gamma j.txt,G.D1.3.1.2,Stimulus/Response Sequences: • Web Browser initiates request to Web Server via HTTPS  • Web Server parses request • Web Server submits request to Service • Service picks up request • Service runs task • Service returns results • Web Server checks for completion • Web Server returns results to Web Browser • Web Browser displays results
0000 - gamma j.txt,G.D1.3.1.3.1,"Customers will be able to create accounts to store their customer profiles, configure contact information, view their purchase history, and confirm orders. Customers will be able to register, log in, and log out of their accounts. Furthermore, Customer profiles will also include payment information, such as the ability to store credit card information, and address information."
0000 - gamma j.txt,G.D1.3.2.1.1,Inventory management will allow for the placement of products into multi-tiered categories. This is a medium priority system feature.
0000 - gamma j.txt,G.D1.3.2.3.1,"Products will be stored in multi-tiered categories; a category can contain subcategories or products. The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details."
0000 - gamma j.txt,G.D1.3.3.1.1,Customers will be able to add and store products for purchase within the shopping cart. This feature is a medium priority system feature.
0000 - gamma j.txt,G.D1.3.3.3.1,"Customers will also be able to add products into the shopping cart. The shopping cart will clearly display the number of items in the cart, along with the total cost. The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation."
0000 - gamma j.txt,G.D1.3.4.1.1,Order confirmation will allow the customer to review their order after checkout prior to confirmation. This is a medium priority system feature.
0000 - gamma j.txt,G.D1.3.4.3.1,"Customers will be able to confirm the order after checkout. If the order is incorrect, the customer will be able to revise and update their order. The customer will then receive a confirmation email with the specific order details."
0000 - gamma j.txt,G.D1.3.5.1.1,The interface will be presented to the customer in a web browser. The interface must remain consistent among various web browsers and be intuitive to the customer. This is a medium priority system feature.
0000 - gamma j.txt,G.D1.3.5.3.1,"Customers will be presented with an unambiguous interface to assist in browsing the categories and products. Customers will be able to search for products matching their search criteria. The interface will be compatible with all major web browsers such as Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari."
0000 - gamma j.txt,G.D1.3.6.1.1,The system will feature an API to allow customers to build custom plug-ins to be able to meet their needs. This is a high priority system feature as it ensures the flexibility of the system to be tailored to specific needs.
0000 - gamma j.txt,G.D1.3.6.2,Stimulus/Response Sequences: • Web Browser initiates request to Web Server via HTTPS • Web Server parses request • Web Server submits request to API Service • API Service picks up request • API Service submits request to Plug-in • Plug-in picks up request • Plug-in runs tasks • Plug-in returns results • API Service validates results • API Service returns results • Web Server checks for completion • Web Server returns results to Web Browser • Web Browser displays results
0000 - gamma j.txt,G.D1.3.6.3.1,The system will implement an Application Interface to allow for various plug-ins to interact with the system. The plug-in API will be well documented and specifications will be provided to plug-in developers.
0000 - gamma j.txt,G.D1.4.3.1,The order database of WebOrder will communicate with the account system through a programmatic interface for the billing operations.
0000 - gamma j.txt,G.D1.4.3.2,"Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system."
0000 - gamma j.txt,G.D1.4.4.1,The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.
0000 - gamma j.txt,G.D1.4.4.2,The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.
0000 - gamma j.txt,G.D1.5.1.1,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.
0000 - gamma j.txt,G.D1.5.1.2,The system shall be able to handle 1000 customers logged in concurrently at the same time.
0000 - gamma j.txt,G.D1.5.1.3,The system shall be able to retrieve 200 products per second.
0000 - gamma j.txt,G.D1.5.1.4,The system shall be able to add product to shopping cart in less than 2ms.
0000 - gamma j.txt,G.D1.5.1.5,The system shall be able to search for a specified product in less than 1 second.
0000 - gamma j.txt,G.D1.5.1.6,The system shall be able to email customer and vendor in less than 1 second.
0000 - gamma j.txt,G.D1.5.1.7,The system shall be able to validate credit card in less than 2 seconds.
0000 - gamma j.txt,G.D1.5.1.8,The system shall be able to acquire shipping charges in less than 2 seconds.
0000 - gamma j.txt,G.D1.5.1.9,The system shall be able to restore 1000 records per second.
0000 - gamma j.txt,G.D1.5.2.1,The system will do periodic backups through a live internet connection.
0000 - gamma j.txt,G.D1.5.3.1,The system shall validate credit cards against fraud.
0000 - gamma j.txt,G.D1.5.3.2,The system shall encrypt all sensitive information via https.
0000 - gamma j.txt,G.D1.5.3.3,The system shall encrypt all customer data in database.
0000 - gamma j.txt,G.D1.5.3.4,The system shall auto detect IP DOS attacks and block IP automatically.
0000 - gamma j.txt,G.D1.5.3.5,The system shall detect consecutive failed login attempts.
0000 - gamma j.txt,G.D1.5.3.6,The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/
0000 - gamma j.txt,G.D1.5.4.1,The system shall have an availability of 99.99%.
0000 - gamma j.txt,G.D1.5.5.1,The system shall perform searches via Dijkstra's shortest path algorithm.
0000 - gamma j.txt,G.D1.5.5.2,"For returning customers, the system shall validate 'existing' credit card in system after each log in."
0000 - gamma j.txt,G.D1.5.5.3,The system shall automatically compress image files that are too large in size.
0000 - gamma j.txt,G.D1.5.5.4,The system will employ on demand asynchronous loading for faster execution of pages.
0000 - gamma j.txt,G.D1.5.5.5,The system shall validate email address existence.
0000 - gamma j.txt,G.D1.5.6.1,The system shall be easy to use
0000 - gamma j.txt,G.D1.5.6.2,The system shall be easy to learn
0000 - gamma j.txt,G.D1.5.6.3,"The system shall utilize help bubbles to assist managers, customers, and administrators"
0000 - gamma j.txt,G.D1.5.6.4,The system shall employ easy to locate buttons
0000 - gamma j.txt,G.D1.5.6.5,The system shall prompt customer with friend easy to read error messages.
0000 - gamma j.txt,G.D1.5.6.6,The system shall utilize consistent symbols and colors for clear notifications.
0000 - gamma j.txt,G.D1.5.7.1,The system shall utilize interchangeable plugins.
0000 - gamma j.txt,G.D1.5.7.2,The system shall be easily updatable for fixes and patches.
0000 - gamma j.txt,G.D1.5.7.3,"The system shall create logs of all changes, updates, or fixes that are done to the site."
0000 - gamma j.txt,G.D1.5.7.4,The system shall be easy to upgrade.
0000 - gamma j.txt,G.D1.5.8.1,The system shall be extremely portable via the usb drive.
0000 - gamma j.txt,G.D1.5.8.2,The system shall be easy to migrate or backed up via another usb drive.
0000 - gamma j.txt,G.D1.5.9.1,The system should be able to run under debug mode.
0000 - gamma j.txt,G.D1.5.9.2,The system should be able to run test credit card transactions.
0000 - gamma j.txt,G.D1.5.9.3,The system should be able to run test shipping orders.
0000 - gamma j.txt,G.D1.5.9.4,The system should be able to create test environment of weborder system.
0000 - gamma j.txt,G.D1.6.1,The system hardware shall be fixed and patched via an internet connection.
0000 - gamma j.txt,G.D1.6.2,Yoggie shall coordinate on future enhancement and features with our organization.
0000 - gamma j.txt,G.D1.6.3,The system shall adhere to the following hardware requirements: • 4GB Flash ram chip • 128MB SDRAM • Intel XScale PXA270 520-MHz chipset • OS: Apache web server • Database: MySQL
0000 - inventory.txt,G.D2.4.1.1,Level 0 has the permission to create requests only.
0000 - inventory.txt,G.D2.4.1.2,Level 1 can control the assets and locations that he owns.
0000 - inventory.txt,G.D2.4.1.3,Level 2 can control the assets and locations that owns and get all level1 permissions.
0000 - inventory.txt,G.D2.4.1.4,Level 3 can control the assets and locations that owns and get all level2 permissions.
0000 - inventory.txt,G.D2.4.1.5,"Level 1, 2 and 3 can delegate some or all of their permission to any user."
0000 - inventory.txt,G.D2.4.1.6,Level 4 has all possible permissions. Level 4 for can create and assign permission to a new groups.
