2.2.1.1.53	The application shall allow users to create a new empty document.
2.2.2.3.99	While the links pane is shown, the application shall display all traceability links starting in or leading to the selected requirement grouped by link types and ordered by ID of the linked object.
2.2.2.3.142	When user clicks on a traceability link then the application shall focus the linked requirement.
2.2.3.1.106	The application shall allow users to create a new requirement and place it in any document section.
2.2.3.1.107	When users creates a new requirement the application shall assign it a unique ID which cannot be changed.
2.2.3.1.108	The application shall allow users to copy selected requirements or document sections within the document.
2.2.3.1.109	The application shall allow users to move selected requirements or document sections within the document.
2.2.3.1.110	The application shall allow users to mark selected requirements or document sections as dele ted.
2.2.3.1.111	The application shall allow users to undelete selected deleted requirements or document sections.
2.2.3.1.112	The application shall allow users to permanently remove selected deleted requirements or document sections from the document.
2.2.3.2.114	The application shall allow users to edit the heading of the selected section.
2.2.3.2.115	The application shall allow users to edit the text description of the selected requirement.
2.2.3.2.116	The application shall allow users to paste an HTML content copied from MS Word, Excel or other application into the text description of the selected requirement.
2.2.3.3.119	The application shall allow users to define custom requirement attributes and assign them a unique ID which cannot be changed.
2.2.3.3.121	The application shall allow users to set a type of each custom attribute as follows: boolean, integer number, real number, string, date, enum or XHTML.
2.2.3.3.191	The application shall allow users to set one or more values for custom attributes of enumeration type.
2.2.3.3.122	When a user changes the type of a custom attribute then the application shall automatically convert all values of the attribute to the new type.
2.2.3.3.157	If the automatic conversion fails for any attribute value, then the application shall prevent the change of custom attribute type.
2.2.3.3.120	The application shall allow users to set an optional name of each custom attribute.
2.2.3.3.192	The application shall allow users to remove custom attributes.
2.2.3.3.193	When a user removes a custom attribute then the application shall unset values of the attribute in all requirements.
2.2.3.3.165	The application shall allow users to edit custom attributes of the selected requirement.
2.2.3.4.124	The application shall allow users to attach one or more images or documents (PDF, Word, Excel, Powerpoint, Visio, …) to the selected requirement.
2.2.3.4.126	When a new attachment is added to the document then the application shall generate its unique attachment ID as a combination of the requirement ID and the original attachment file name.
2.2.3.4.127	The application shall allow users to save attachment files to the local file system.
2.2.3.4.128	The application shall allow users to update content of requirement attachments from a selected file.
2.2.3.4.129	The application shall allow users to permanently remove attachments from the document.
2.2.3.5.132	The application shall allow users to comment the selected requirement.
2.2.3.5.133	When a user creates a new comment then the application shall record the current date and time and the author of the comment.
2.2.3.6.135	The application shall allow users to define link types and assign them a unique ID which cannot be changed.
2.2.3.6.156	The application shall allow users to set for each link type its name and role name of the source and target requirements.
2.2.3.6.138	The application shall allow users to remove link types.
2.2.3.6.161	When a user removes a link type then the application shall remove all traceability links of the link type from the document.
2.2.3.7.137	The application shall allow users to create directed traceability links of a chosen link type between selections of requirements or document sections.
2.2.3.7.139	The application shall allow users to change the link type of a selected link traceability.
2.2.3.7.140	The application shall allow users to revert direction of a selected traceability link.
2.2.3.7.141	The application shall allow users to permanently remove a selected traceability link from the document.
2.2.3.8.144	The application shall automatically persist all document changes and restore them when it is restarted.
2.2.3.8.160	When user closes the document the application shall clear all persisted document data.
2.2.4.1.147	The application shall allow users to filter requirements according to a condition in disjunctive normal form (DNF).
2.2.4.1.148	The application shall allow users to enter a filtering condition matching document sections by their number or heading.
2.2.4.1.149	The application shall allow users to enter a filtering condition matching requirements by their text description or a custom attribute.
2.2.4.1.150	The application shall allow users to filter requirements with missing traceability links of a given type.
2.2.4.2.152	The application shall allow users to search requirements matching one or more given keywords in a string or xhtml attribute.
2.2.4.2.153	While the search mode is active the application shall highlight the matched requirements and allow user to select the next or previous matched requirement in the document.
2.2.5.159	When a user changes a requirement the application shall record the current date and time and the author of the change.
2.2.5.101	The application shall display all changes of the selected requirement ordered by date and time.
2.2.5.102	Each displayed requirement change shall contain author, date & time and description of the change.
2.2.5.103	The application shall allow users to expand and collapse all changes in the History pane.
2.2.6.163	The application shall allow users to print the displayed requirements table.
2.2.6.164	The application shall allow users to create a PDF containing the display ed requirements table.
2.4.1.174	The application should display the opened document within 10s after it is started.
2.4.2.171	The application should display updated values within 1s after user triggers the edit operation.
2.4.3.173	While a user scrolls the requirements table, the application should not display scrolling jerks longer than 200ms.
2.4.4.170	The application shall allow users to open documents up to 10000 objects and 100 file attachments with total size up to 100 MB.
2.5.194	The application shall encrypt the persistent application data.
2.8.195	The application shall run in the latest version of Chrome or Firefox browsers.
2.8.176	The application shall not send any project data to the Internet.
2.8.199	The application shall sanitize any data input or imported by users.
