3.1.1.1	The system shall support an administrator level.
3.3.1.2	The system shall allow project managers to edit the domain for the documents.
3.3.1.2.1	The system will allow the project manager to edit the domain for the documents such as change the domain name.
3.3.1.3	The system shall allow project managers to delete the domain for the documents.
3.3.1.3.1	The system will allow the project manager to delete the domain for the documents.
3.3.1.4	The system shall allow project managers to create document types.
3.3.1.4.1	The system will allow the project manager to create document type such as policy documents, requirements document, manuals etc.
3.3.1.5	The system shall provide the ability to display document names and links to the actual document text within a specific domain in an alphabetical order.
3.3.1.5.1	The system will allow analysts and guest to view policies in the system in an alphabetical order.
3.3.1.6	The system shall allow project managers to create a new domain and assign existing documents to this domain.
3.3.1.6.1	The system will allow project managers to create a new domain for the documents and assign existing documents to that particular domain.
3.3.1.7	The system shall support automatic multi-user analysis results comparison upon the project manager’s request.
3.3.1.7.1	The system will allow analysts to classify goals separately and as a result they can automatically check the difference in their classification results for their resolution.
3.4.1.1	The system shall provide a way calculate the Flesch Readability for textual documents.
3.4.1.1.1	The system will provide analysts way to calculate the Flesch Readability Score (FRES) and Flesch-Kincaid Grade Level (FGL) for textual documents. For this, a link to the actual textual document as well as the corresponding FRES and FGL as the number of words and sentences in each document will be provided.
3.5.1.1	The system shall provide the ability to add a scenario to the system.
3.5.1.1.1	The system shall allow analysts to add a scenario to the system. Following are the necessary elements for each scenario: • Scenario Name • Sources • Actor(s) • Event(s) • Action(s) • Obstacle(s) • Constraint(s) • Pre-Condition(s) • Post-Condition(s) • Status  • Issue(s)- These are questions that come up: catch on • Goals • Requirements
3.5.1.2	The system shall allow analysts to edit/modify a scenario within a project
3.5.1.2.1	The system shall allow analysts to edit/modify a scenario within a project.
3.5.1.3	The system shall provide the ability to delete a scenario from a project without deleting it from the system
3.5.1.3.1	The system shall allow analysts to delete a scenario from the system.
3.5.1.4	The system shall allow analysts to reuse other scenarios.
3.5.1.4.1	The system shall allow analysts to reuse other scenarios when specifying a scenario.
3.5.1.5	The system shall allow analysts to view goals associated with individual scenarios.
3.5.1.5.1	When the analyst views the full details of a goal, the system will indicate the scenarios that are shared among goals.
3.5.1.6	The system shall allow analysts to view the elements of any scenario in the project.
3.5.1.6.1	The system shall allow analysts to view the elements of any scenario in the project assigned to this analyst.
3.5.1.7	The system shall generate a list of all scenarios that share the same attribute or sets of attributes
3.5.1.7.1	The system will allow analysts to generate list of all scenarios that have the same source, goal, actor, etc. This will allow the analyst to determine effects caused by a change in conditions or can provide quick feedback on what scenarios need further elaboration.
3.6.1.1	The system shall provide the ability to specify requirements.
3.6.1.1.1	The system will allow analysts to specify requirements.
3.6.1.2	The system shall provide the ability to add a requirement.
3.6.1.2.1	The system will allow analysts to add requirements to the system. The requirement will include the following:  -Goals  -Constraints
3.6.1.3	The system shall provide the ability to delete a requirement.
3.6.1.3.1	The system will allow analysts to delete requirements from the system.
3.6.1.4	The system shall provide the ability to edit a requirement.
3.6.1.4.1	The system will allow analysts to edit requirements.
3.6.1.5	The system shall provide a template for specifying requirements.
3.6.1.5.1	The system will provide a template to specify requirements.
3.7.1.1	The system shall provide a demo version of the tool
3.7.1.1.1	The system will provide a trial version of the tool allowing people to enter about 30 objects and try our system.
3.8.1.1	The system shall allow analysts to add new objects (names, types and other attributes).
3.8.1.1.1	The system shall allow analysts to add new objects. Elements of an object include: name, type, hierarchical information, preferences, etc.
3.8.1.2	The system shall support association of privacy preferences with objects.
3.8.1.2.1	The system shall allow analysts to associate privacy preferences with objects. Elements of a privacy preference include: purpose, recipient, retention, consent, etc.
3.8.1.3	The system shall support hierarchical structure of data and its type.
3.8.1.3.1	The system shall allow analysts to specify hierarchies to organize data and its types.
3.8.1.4	The system shall allow graphical view of data structures.
3.8.1.4.1	The system shall allow analysts to view data hierarchies graphically.
3.8.1.5	The system shall support deriving access control elements.
3.8.1.5.1	The system shall allow analysts to specify access control elements.
3.8.1.6	The system shall allow analysts to view scenario elements and edit access control rules at the same time.
3.8.1.6.1	The system shall allow analysts to view scenario elements on the left hand of the screen and edit access control rules on the right hand of the screen.
3.8.1.7	The system shall support a hierarchical representation of organizational structures.
3.8.1.7.1	The system shall allow analysts to specify business and organizational structures.
3.8.1.8	The system shall support the representation of organizational boundaries.
3.8.1.8.1	The system shall allow analysts to specify organization boundaries via the use of roles.
3.8.1.9	The system shall support the representation of actor relationships.
3.8.1.9.1	The system shall allow analysts to specify relationships among actors.
3.8.1.10	The system shall support the definition of roles.
3.8.1.10.1	The system shall allow analysts to specify roles.
3.8.1.11	The system shall support role delegation.
3.8.1.11.1	The system shall allow project managers to delegate their responsibilities to analysts for a specific time frame.
3.8.1.12	The system shall support analysis of a specific type of data flow within or across the boundary of an organization, given a set of access control policies.
3.8.1.12.1	The system shall allow analysts to graphically view the allowable flows for specific types within an organization and across multiple organizations given a set of access control policies.
3.8.1.13	The system shall support access control specification using Ponder language.
3.8.1.13.1	The system shall allow analysts to invoke the ponder policy editor.
3.8.1.14		The system shall provide partial support for translating Ponder policy into Alloy specifications for security verification.
3.8.1.14.1	The system shall provide partial support for translating Ponder policy into Alloy specifications for security verification. “Partial support” means providing as much automatic translation as possible so that manual specification of Alloy could be minimized. The partial support also includes providing interface between Ponder editor and Alloy tool.
3.9.1.1		The system shall provide a way to extract goals data-usage information from a P3P privacy policy according to the P3P standard.
3.9.1.1.1	The system will provide users a way to extract goals information which is the information pertaining to the usage of a data-item from a P3P privacy policy according to the P3P standard. This involves parsing the respective P3P documents- privacy policy documents or the user’s privacy preferences.
3.9.1.2	The system shall provide a way to extract goals data-usage information according to as per the user’s privacy preferences in accordance with the P3P standard.
3.9.1.2.1	The system will provide users a way to extract goals which is the information pertaining to the usage of a data-item according to the user’s privacy preferences in accordance with the P3P standard. Here the goals information pertaining necessary to accepting as well as rejecting a policy according to user’s privacy preferences are extracted. This involves obtaining parsing the respective documents- privacy policy documents or the user’s privacy preferences and deriving the goals pertinent rules from them.
3.9.1.3	The system shall provide a way to capture the mined goals information from the P3P policy into a database corresponding to a P3P privacy policy.
3.9.1.3.1	The system will provide users a way to concisely capture goals information mined from the P3P policy, into a database corresponding to a P3P privacy policy.
3.9.1.4	The system shall provide a way to capture the mined goals information from the user’s privacy preferences into a database corresponding to the user’s privacy preferences.
3.9.1.4.1	The system will provide users a way to concisely capture goals the rules derived from the user’s privacy preferences into a database corresponding to the user’s privacy preferences.
3.9.1.5	The system shall provide a way to evaluate the information extracted from the P3P privacy policy against the information extracted from the user’s privacy preferences.
3.9.1.5.1	The system will provide users an unambiguous way to evaluate the information extracted from the privacy policy against the information extracted from the user’s privacy preferences. During the evaluation, following scenarios need to be dealt with:
3.9.1.5.1.1	If the data-usage goals information mined from the P3P policy match those from the user's privacy preferences corresponding to both acceptance and rejection of a policy, then a conflict should be detected and a notification requiring user's intervention raised.
3.9.1.5.1.2	If the goals data-usage information mined from the P3P policy match those from the user's privacy preferences corresponding to either accepting or rejecting a policy, the policy should be accepted or rejected respectively.
3.9.1.5.1.3	If the goals data-usage information mined from the P3P policy does not match those from the user’s privacy preferences corresponding to either acceptance or and rejection of a policy, then again a conflict should be detected and a notification requiring user’s intervention raised.
4.1	The system shall generate an access log for every add, delete and edit action in the system.
4.1.1	The system will generate an access log for every add, delete and edit action in the system for the purpose of future tracking. General elements of an access log contain time, date, user id, action and object..
