1.1.1	The system shall create a single patient record for each patient.
1.8.21	The system shall be capable of recording comments by the patient or the patient's representative regarding the accuracy or veracity of information in the patient record (henceforth 'patient annotations').
1.8.22	The system shall display patient annotations in a manner which distinguishes them from other content in the system.
1.8.23	The system shall provide the ability to graph height and weight over time.
1.8.24	The system shall provide the ability to calculate and display body mass index (BMI).
1.9.1	The system shall provide the ability to capture and store external documents.
1.9.3	The system shall provide the ability to save scanned documents as images.
1.9.4	The system shall provide the ability to receive, store in the patient's record, and display text-based outside reports.
1.9.5.1	The system shall provide the ability to index scanned documents and associate a date and document type to the document.
1.9.5.2	The system shall provide the ability to retrieve indexed scanned documents based on document type and date.
1.9.6	The system shall provide access to clinical images.  They must be accessible from within the patient's chart and labeled and date-time stamped or included in a patient encounter document.  These images may be stored within the system or be provided through direct linkage to external sources.
1.9.7	The system shall provide the ability to accept, store in the patient's record, and display clinical results received through an interface with an external source.
2.14.1	The system shall provide the ability to produce patient instructions and patient educational materials which may reside within the system or be provided through links to external source.
1.10.3	The system shall have the ability to provide access to patient-specific test and procedure instructions that can be modified by the physician or health organization; these instructions are to be given to the patient.  These instructions may reside within the system or be provided through links to external sources.
1.10.4	The system shall have the ability to provide access to patient-specific test and procedure instructions that can be modified by the physician or health organization; these instructions are to be given to the filler of the order.  These instructions may reside within the system or be provided through links to external sources.
1.10.5	The system shall provide the ability to record that patient specific instructions or educational material were provided to the patient.
1.10.6	The system shall provide the ability to create patient specific instructions.
2.17.1	The system shall provide the ability to access and review medication information (such as patient education material or drug monograph).  This may reside within the system or be provided through links to external sources.
1.11.1	The system shall provide the ability to create prescription or other medication orders with sufficient information for correct filling and dispensing by a pharmacy.
1.11.2	The system shall provide the ability to record user and date stamp for prescription related events, such as initial creation, renewal, refills, discontinuation, and cancellation of a prescription.
1.11.3	The system shall provide the ability to capture the identity of the prescribing provider for all medication orders.
1.11.4	The system shall provide the ability to capture common content for prescription details including strength, sig, quantity, and refills to be selected by the ordering clinician.
1.11.5	The system shall provide the ability to receive and display information received through electronic prescription eligibility checking.
1.11.7	The system shall provide the ability to reorder a prior prescription without re-entering previous data (e.g. administration schedule, quantity).
1.11.8	The system shall provide the ability to print and electronically fax prescriptions.
1.11.9	The system shall provide the ability to re-print and re-fax prescriptions.
1.11.11	The system shall provide the ability to display a dose calculator for patient-specific dosing based on weight.
1.11.12	The system shall provide the ability to identify medication samples dispensed, including lot number and expiration date.
1.11.13	The system shall provide the ability to prescribe fractional amounts of medication (e.g. 1/2 tsp, 1/2 tablet).
1.11.14	The system shall provide the ability to alert the user if the drug interaction information is outdated.
1.11.15	The system shall provide the ability to allow the user to configure prescriptions to incorporate fixed text according to the user's specifications.
2.9.4	The system shall provide the ability to capture and maintain, as discrete data, a diagnosis/problem code or description associated with an order of any type (including prescriptions and medications ordered for administration).
1.11.17	The system shall provide the ability to display the associated problem or diagnosis (indication) on the printed prescription.
1.11.19	The system shall provide the ability to create provider specific medication lists of the most commonly prescribed drugs with a default route, dose, frequency, and quantity.
1.11.20	The system shall provide the ability to add reminders for necessary follow up tests based on medication prescribed.
2.7.1	The system shall provide the ability to alert the user at the time a new medication is prescribed/ordered that drug interaction, allergy, and formulary checking will not be performed against the uncoded medication or free text medication.
2.7.2	The system shall provide the ability to prescribe/order uncoded and non-formulary medications.
2.7.3	The system shall provide the ability to maintain a coded list of medications including a unique identifier for each medication.
2.7.4	The system shall provide end-users the ability to search for medications by generic or brand name.
2.7.5	The system shall provide the ability to access reference information for prescribing/ordering.
1.12.1	The system shall provide the ability to order diagnostic tests, including labs and imaging studies.
1.12.2	The system shall provide the ability to capture the identity of the ordering provider for all test orders.
1.12.3	The system shall provide the ability to capture appropriate order entry detail, including associated diagnosis.
1.12.4	The system shall provide the ability to display user created instructions and/or prompts when ordering diagnostic tests or procedures.
1.12.5	The system shall provide the ability to relay orders for a diagnostic test to the correct destination for completion.
1.12.6	The system shall have the ability to provide a view of active orders for an individual patient.
1.12.7	The system shall have the ability to provide a view of orders by like or comparable type, e.g., all radiology or all lab orders.
1.12.8	The system shall provide the ability to display outstanding orders for multiple patients (as opposed to outstanding orders for a single patient).
2.9.1	The system shall provide the ability to require problem / diagnosis as an order component.
2.9.2	The system shall provide the ability to view status information for ordered services.
2.10.1	The system shall provide the ability to define a set of items to be ordered as a group.
2.10.2	The system shall provide the ability to modify order sets.
2.10.3	The system shall provide the ability to include in an order set order types including but not limited to medications, laboratory tests, imaging studies, procedures and referrals.
2.11.1	The system shall provide the ability for individual orders in an order set to be selected or deselected by the user.
2.11.4	The system shall provide the ability to display orders placed through an order set either individually or as a group.
1.14.1	The system shall provide the ability to indicate normal and abnormal results based on data provided from the original data source.
1.14.2	The system shall provide the ability to display numerical results in flow sheets and graphical form in order to compare results, and shall provide the ability to display values graphed over time.
1.14.3	The system shall provide the ability to display non-numeric current and historical test results as textual data.
1.14.4	The system shall provide the ability to notify the relevant providers (ordering, copy to) that new results have been received.
1.14.5	The system shall provide the ability to filter or sort results by type of test and test date.
1.14.7	The system shall provide the ability to forward a result to other users.
1.14.8	The system shall provide the ability to link the results to the original order.
1.14.9	The system shall provide the ability for a user to attach a free text comment to a result that can be seen by another user who might subsequently view that result.
1.14.10	The system shall provide the ability to associate one or more images with a non-numerical result.
1.14.11	The system shall provide the ability for a user to whom a result is presented to acknowledge the result.
1.15.1	The system shall provide the ability to capture scanned paper consent documents (covered in DC.1.1.3.1).
1.15.2	The system shall provide the ability to store, display and print patient consent forms.
1.15.4	The system shall provide the ability to store and display administrative documents (e.g. privacy notices).
1.15.5	The system shall provide the ability to chronologically display consents and authorizations.
1.16.1	The system shall provide the ability to indicate that a patient has completed advance directive(s).
1.16.2	The system shall provide the ability to indicate the type of advance directives, such as living will, durable power of attorney, or a "Do Not Resuscitate" order.
1.16.3	The system shall provide the ability to indicate when advance directives were last reviewed.
1.17.1	The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter. These documents may reside within the system or be provided through links to external sources.
1.17.2	The system shall provide the ability to create site-specific care plan, protocol, and guideline documents.
1.17.3	The system shall provide the ability to modify site-specific standard care plan, protocol, and guideline documents obtained from outside sources.
2.12.10	The system shall provide the ability to check for potential interactions between medications to be prescribed and medication allergies and intolerances listed in the record and alert the user at the time of medication prescribing/ordering if potential interactions exist.
1.19.5	The system shall provide the ability to set the severity level at which drug interaction warnings should be displayed.
2.12.4	The system shall provide the ability to display, on demand, potential drug-allergy interactions, drug-drug interactions and drug-diagnosis interactions based on current medications, active allergies and active problems.
2.13.1	The system shall provide drug-diagnosis interaction alerts at the time of medication prescribing/ordering.
2.12.11	The system shall provide the ability, when a new allergy is documented, to check for a potential interaction between the newly-documented allergy and the patient's current medications, and alert the user if such interactions exist.
2.12.1	The system shall provide the ability to check for potential interactions between medications to be prescribed/ordered and current medications and alert the user at the time of medication prescribing/ordering if potential interactions exist.
2.12.5	The system shall provide the ability to view the rationale for a drug interaction alert.
2.12.6	The system shall provide the ability to capture and maintain at least one reason for overriding any drug-drug or drug-allergy/intolerance interaction warning triggered at the time of medication prescribing/ordering.
2.12.7	The system shall provide the ability to enter a structured response when overriding a drug-drug or drug-allergy/intolerance warning.
2.12.8	The system shall provide the ability to prescribe/order a medication despite alerts for interactions and/or allergies/intolerances being present.
2.12.9	The system shall provide the ability to accept updates to drug interaction databases
2.15.1	The system shall provide the ability to capture medication administration details as discrete data, including: (1) the medication name and dose; (2) date and time of administration; (3) route and site; (4) lot number and expiration date; (5) manufacturer; and (6) user ID.
2.16.2	The system shall provide the ability to capture, in a discrete field, an allergy/adverse reaction to a specific immunization.
2.16.3	The system shall provide the ability to capture immunization administration details as discrete data, including: (1) the immunization type and dose; (2) date and time of administration; (3) route and site; (4) lot number and expiration date; (5) manufacturer; and (6) user ID.
1.21.1	The system shall provide the ability to create referral orders with detail adequate for correct routing.
1.21.2	The system shall provide the ability to record user ID and date/time stamp for all referral related events.
1.22.1	The system shall provide the ability to establish criteria for disease management, wellness, and preventive services based on patient demographic data (minimally age and gender).
1.22.2	The system shall provide the ability to display alerts based on established guidelines.
1.22.3	The system shall provide the ability to establish criteria for disease management, wellness, and preventive services based on clinical data (problem/diagnosis list, current medications).
1.22.4	The system shall provide the ability to update disease management guidelines and any associated reference material.
1.22.5	The system shall provide the ability to update preventive services/wellness guidelines and any associated reference material.
1.22.6	The system shall provide the ability to override guidelines.
1.22.7	The system shall provide the ability to document reasons disease management or preventive services/wellness prompts were overridden.
1.22.8	The system shall provide the ability to modify the rules or parameters upon which guideline-related alerts are based.
1.22.9	The system shall provide the ability to document that a preventive or disease management service has been performed based on activities documented in the record (e.g., vitals signs taken).
1.22.10	The system shall provide the ability to document that a disease management or preventive service has been performed with associated dates or other relevant details recorded.
1.22.11	The system shall provide the ability to individualize alerts to address a patient's specific clinical situation.
1.23.1	The system shall provide the ability to identify preventive services, tests or counseling that are due on an individual patient.
1.23.2	The system shall provide the ability to display reminders for disease management, preventive and wellness services in the patient record.
1.23.3	The system shall provide the ability to identify criteria for disease management, preventive and wellness services based on patient demographic data (age, gender).
1.23.4	The system shall provide the ability to identify criteria for disease management, preventive, and wellness services based on clinical data (problem/diagnosis list, current medications, lab values).
1.23.5	The system shall provide the ability to modify the guidelines, criteria or rules that trigger the reminders.
1.23.6	The system shall provide the ability to notify the provider that patients are due or are overdue for disease management, preventive or wellness services.
1.23.7	The system shall provide the ability to produce a list of patients who are due or are overdue for disease management, preventive or wellness services.
1.23.9	The system shall provide the ability to automatically generate reminder letters for patients who are due or are overdue for disease management, preventive or wellness services.
1.24.1	The system shall provide the ability to create and assign tasks by user or user role.
1.24.2	The system shall provide the ability to present a list of tasks by user or user role.
1.24.3	The system shall provide the ability to re-assign and route tasks from one user to another user.
1.24.4	The system shall provide the ability to designate a task as completed.
1.24.5	The system shall provide the ability to remove a task without completing the task.
1.25.1	The system shall provide the ability to document verbal/telephone communication into the patient record.
1.25.3	The system shall support messaging between users.
1.26.1	The system shall have the ability to provide electronic communication between prescribers and pharmacies or other intended recipients of the medication order.
1.27.1	The system shall provide the ability to maintain a directory of all clinical personnel who currently use or access the system.
1.27.2	The system shall provide the ability to maintain a directory which contains identifiers required for licensed clinicians to support the practice of medicine including at a minimum state medical license, DEA, and NPI.
1.27.3	The system shall allow authorized users to update the directory.
1.27.4	The system shall provide the ability to create and maintain a directory of clinical personnel external to the organization who are not users of the system to facilitate communication and information exchange.
1.28.1	The system shall provide the ability to display a schedule of patient appointments, populated either through data entry in the system itself or through an external application interoperating with the system.
1.29.1	The system shall provide the ability to generate reports of clinical and administrative data using either internal or external reporting tools.
1.29.2	The system shall provide the ability to generate reports consisting of all or part of an individual patient’s medical record (e.g. patient summary).
1.29.3	The system shall provide the ability to generate reports regarding multiple patients (e.g. diabetes roster).
1.29.4	The system shall provide the ability to specify report parameters (sort and filter criteria) based on patient demographic and clinical data (e.g., all male patients over 50 that are diabetic and have a HbA1c value of over 7.0 or that are on a certain medication).
1.29.5	The system shall provide the ability to access reports outside the EHR application.
1.29.6	The system shall provide the ability to produce reports based on the absence of a clinical data element (e.g., a lab test has not been performed or a blood pressure has not been measured in the last year).
1.29.7	The system shall provide the ability to save report parameters for generating subsequent reports.
1.29.8	The system shall provide the ability to modify one or more parameters of a saved report specification when generating a report using that specification.
1.30.1	The system shall provide the ability to define one or more reports as the formal health record for disclosure purposes.
1.30.2	The system shall provide the ability to generate hardcopy or electronic output of part or all of the individual patient's medical record.
1.30.3	The system shall provide the ability to generate hardcopy and electronic output by date and/or date range.
1.30.4	The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset.  This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record.
1.30.5	The system shall provide the ability to create hardcopy and electronic report summary information (procedures, medications, labs, immunizations, allergies, and vital signs).
1.30.6	The system shall have the ability to provide support for disclosure management in compliance with HIPAA and applicable law.
1.31.2	The system shall provide the ability to document encounters by one or more of the following means: direct keyboard entry of text; structured data entry utilizing templates, forms, pick lists or macro substitution; dictation with subsequent transcription of voice to text, either manually or via voice recognition system.
1.31.3	The system shall provide the ability to associate individual encounters with diagnoses.
1.31.4	The system shall have the ability to provide filtered displays of encounters based on encounter characteristics, including date of service, encounter provider and associated diagnosis.
1.33.1	The system shall provide the ability to display medical eligibility obtained from patient's insurance carrier, populated either through data entry in the system itself or through an external application interoperating with the system.
1.34.2	The system shall provide the ability to specify the role of each provider associated with a patient, such as encounter provider, primary care provider, attending, resident, or consultant using structured data.
1.35.1	The system shall provide the ability to update the clinical content or rules utilized to generate clinical decision support reminders and alerts.
1.35.2	The system shall provide the ability to update clinical decision support guidelines and associated reference material.
2.18.2	The system shall provide the ability to capture and maintain, as discrete data, the reason for variation from rule-based clinical messages (for example alerts and reminders).
1.36.2	The system shall provide a means to document a patient's dispute with information currently in their chart.
1.36.4	The system shall provide the ability to identify certain information as confidential and only make that accessible by appropriately authorized users.
1.36.5	The system shall provide the ability to prevent specified user(s) from accessing a designated patient's chart.
1.36.6	When access to a chart is restricted, the system shall provide a means for appropriately authorized users to "break the glass" for emergency situations.
1.37.1	The system shall provide the ability to retain data until otherwise purged, deleted, archived or otherwise deliberately removed.
1.39.1	The system shall provide the ability to export (extract) pre-defined set(s) of data out of the system.
1.40.1	The system shall provide the ability for multiple users to interact concurrently with the EHR application.
1.40.2	The system shall provide the ability for concurrent users to simultaneously view the same record.
1.40.3	The system shall provide the ability for concurrent users to view the same clinical documentation or template.
1.40.4	The system shall provide protection to maintain the integrity of clinical data during concurrent access.
3.1.7.1	The system shall provide the ability to receive and store general laboratory results using the HL7 v.2.5.1 ORU message standard
3.1.9.6	The system shall provide the ability to send an electronic prescription to pharmacy
3.1.9.9	The system shall provide the ability to respond to a request for a refill sent from a pharmacy
3.1.9.13	The system shall provide the ability to send a query to verify prescription drug insurance eligibility and apply response to formulary and benefit files to determine coverage
3.1.9.14	The system shall provide the ability to capture and display formulary information from pharmacy or PBM (Pharmacy Benefits Manager)  by applying eligibility response
3.1.9.15	The system shall provide the ability to send a query for medication history to PBM or pharmacy to capture and display medication list from the EHR
3.1.10.10	The system shall provide the ability to display HITSP C32/CCD documents and file them as intact documents in the EHR. Summary patient record content information will include: patient demographics, medication list, medication allergy list.
3.1.10.20	The system shall provide the ability to generate and format patient summary  documents per the following specifications: HITSP C32 (v2.3 or v2.5) Summary patient record content information will include: patient demographics, medications, medication allergies
4.1.11	The system shall provide the ability for a clinical or other authorized user to view the full content of a finalized note. The full content of a finalized note includes the finalized note and any finalized modifications to that note including finalized changes  referred to as corrections.
4.4.8	The system shall provide the ability to save a note in progress prior to finalizing the note.
4.8.1	The system shall have the ability to record and display the identity and credentials of all users who entered all or part of a note even if they did not finalize the note.
5.1.1	The system shall enforce the most restrictive set of rights/privileges or accesses needed by users/groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks.
5.1.2	The system shall provide the ability for authorized administrators to assign restrictions or privileges to users/groups.
5.1.3	The system must be able to associate permissions with a user using one or more of the following access controls: 1) user-based (access rights assigned to each user); 2) role-based (users are grouped and access rights assigned to these groups); or 3) context-based (role-based with additional access rights assigned or restricted based on the context of the transaction such as time-of-day, workstation-location, emergency-mode, etc.)
5.1.4	The system shall support removal of a user’s privileges without deleting the user from the system.  The purpose of the criteria is to provide the ability to remove a user’s privileges, but maintain a history of the user in the system.
5.2.1	The system shall allow an authorized administrator to set the inclusion or exclusion of auditable events in SC 02.03 based on organizational policy & operating requirements/limits.
5.2.2	The system shall support logging to a common audit engine using the schema and transports specified in the Audit Log specification of IHE Audit Trails and Node Authentication (ATNA) Profile.
5.2.3	The system shall be able to detect security-relevant events that it mediates and generate audit records for them. At a minimum the events shall include those listed in the Appendix Audited Events. Note: The system is only responsible for auditing security events that it mediates. A mediated event is an event that the system has some active role in allowing or causing to happen or has opportunity to detect. The system is not expected to create audit logs entries for security events that it does not mediate.
5.2.4	The system shall record within each audit record the following information when it is available: (1) date and time of the event; (2) the component of the system (e.g. software component, hardware component) where the event occurred; (3) type of event (including: data description and patient identifier when relevant); (4) subject identity (e.g. user identity); and (5) the outcome (success or failure) of the event.
5.2.5	The system shall provide authorized administrators with the capability to read all audit information from the audit records in one of the following two ways:  1) The system shall provide the audit records in a manner suitable for the user to interpret the information.  The system shall provide the capability to generate reports based on ranges of system date and time that audit records were collected. 2) The system shall be able to export logs into text format in such a manner as to allow correlation based on time (e.g. UTC synchronization).
5.2.6	The system shall be able to support time synchronization using NTP/SNTP, and use this synchronized time in all security records of time.
5.2.7	The system shall have the ability to format for export recorded time stamps using UTC based on ISO 8601.  Example: "1994-11-05T13:15:30-05:00" corresponds to November 5, 1994, 8:15:30 am, US Eastern Standard Time.
5.2.8	The system shall prohibit all users read access to the audit records, except those users that have been granted explicit read-access.  The system shall protect the stored audit records from unauthorized deletion. The system shall prevent modifications to the audit records.
5.3.1	The system shall authenticate the user before any access to Protected Resources (e.g. PHI) is allowed, including when not connected to a network e.g. mobile devices.
5.3.2	When passwords are used, the system shall support password strength rules that allow for minimum number of characters, and inclusion of alpha-numeric complexity.
5.3.3	The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures. The inactivity timeout shall be configurable.
5.3.4	The system shall enforce a limit of (configurable) consecutive invalid access attempts by a user. The system shall protect against further, possibly malicious, user authentication attempts using an appropriate mechanism (e.g. locks the account/node until released by an administrator, locks the account/node for a configurable time period, or delays the next login prompt according to a  configurable delay algorithm).
5.3.5	When passwords are used, the system shall provide an administrative function that resets passwords.
5.3.6	When passwords are used, user accounts that have been reset by an administrator shall require the user to change the password at next successful logon.
5.3.7	The system shall provide only limited feedback information to the user during the authentication.
5.3.8	The system shall support case-insensitive usernames that contain typeable alpha-numeric characters in support of ISO-646/ECMA-6 (aka US ASCII).
5.3.9	When passwords are used, the system shall allow an authenticated user to change their password consistent with password strength rules (SC 03.02).
5.3.10	When passwords are used, the system shall support case-sensitive passwords that contain typeable alpha-numeric characters in support of ISO-646/ECMA-6 (aka US ASCII).
5.3.11	When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords.
5.3.12	When passwords are used, the system shall prevent the reuse of passwords previously used within a specific (configurable) timeframe (i.e., within the last X days, etc. - e.g. "last 180 days"), or shall prevent the reuse of a certain (configurable) number of the most recently used passwords (e.g. "last 5 passwords").
5.4.1	The system shall include documentation that describes the patch (hot-fix) handling process the vendor will use for EHR, operating system and underlying tools (e.g. a specific web site for notification of new patches, an approved patch list, special instructions for installation, and post-installation test).
5.4.2	The system shall include documentation that explains system error or performance messages to users and administrators, with the actions required.
5.4.3	The system shall include documentation of product capacities (e.g. number of users, number of transactions per second, number of records, network load, etc.) and the baseline representative configurations assumed for these capacities (e.g. number or type of processors, server/workstation configuration and network capacity, etc).
5.4.4	The system shall include documented procedures for product installation, start-up and/or connection.
5.4.5	The system shall include documentation of the minimal privileges necessary for each service and protocol necessary to provide EHR functionality and/or serviceability.
5.4.6	The system shall include documentation available to the customer stating whether or not there are known issues or conflicts with security services  in at least the following service areas:  antivirus, intrusion detection, malware eradication, host-based firewall and the resolution of that conflict (e.g. most  systems should note that full virus scanning should be done outside of peak usage times and should exclude the databases.).
5.4.7	If the system includes hardware, the system shall include documentation that covers the expected physical environment necessary for proper secure and reliable operation of the system including: electrical, HVAC, sterilization, and work area.
5.4.8	The system shall include documentation that itemizes the services (e.g. PHP, web services) and network protocols/ports (e.g. HL-7,  HTTP, FTP)  that are necessary for proper operation and servicing of the system, including justification of the need for that service and protocol. This information may be used by the healthcare facility to properly configure their network defenses (firewalls and routers).
5.4.9	The system shall include documentation that describes the steps needed to confirm that the system installation was properly completed and that the system is operational.
5.4.10	The system shall include documentation available to the customer that provides guidelines for configuration and use of the security controls necessary to support secure and reliable operation of the system, including but not limited to: creation, modification, and deactivation of user accounts, management of roles, reset of passwords, configuration of password constraints, and audit logs.
5.5.1	The software used to install and update the system, independent of the mode or method of conveyance, shall be certified free of malevolent software (“malware”).  Vendor may self-certify compliance with this standard through procedures that make use of commercial malware scanning software.
5.5.2	The system shall be configurable to prevent corruption or loss of data already accepted into the system in the event of a system failure (e.g. integrating with a UPS, etc.).
5.6.1	The system shall support protection of confidentiality of all Protected Health Information (PHI) delivered over the Internet or other known open networks via encryption using triple-DES (3DES) or the Advanced Encryption Standard (AES) and an open protocol such as TLS, SSL, IPSec, XML encryptions, or S/MIME or their successors.
5.6.2	When passwords are used, the system shall not display passwords while being entered.
5.6.3	For systems that provide access to PHI through a web browser interface (i.e. HTML over HTTP) shall include the capability to encrypt the data communicated over the network via SSL (HTML over HTTPS). Note: Web browser interfaces are often used beyond the perimeter of the protected enterprise network
5.6.4	The system shall support protection of integrity of all Protected Health Information (PHI) delivered over the Internet or other known open networks via SHA1 hashing and an open protocol such as TLS, SSL, IPSec, XML digital signature, or S/MIME or their successors.
5.6.5	The system shall support ensuring the authenticity of remote nodes (mutual node authentication) when communicating Protected Health Information (PHI) over the Internet or other known open networks using an open protocol (e.g. TLS, SSL, IPSec, XML sig, S/MIME).
5.6.6	The system, when storing PHI on any device intended to be portable/removable (e.g. thumb-drives, CD-ROM, PDA, Notebook), shall support use of a standards based encrypted format using triple-DES (3DES), or the Advanced Encryption Standard (AES), or their successors.
5.6.7	The system, prior to access to any PHI, shall display a configurable warning or login banner (e.g. "The system should only be accessed by authorized users"). In the event that a system does not support pre-login capabilities, the system shall display the banner immediately following authorization.
5.8.1	The system shall be able to generate a backup copy of the application data, security credentials, and log/audit files.
5.8.2	The system restore functionality shall result in a fully operational and secure state.  This state shall include the restoration of the application data, security credentials, and log/audit files to their previous state.
