1.1.1	The solution should authenticate principals prior to accessing an EMR application or EMR data.
2.2.16	The solution should provide the ability to record system maintenance events for loading new versions of, or changes to, the clinical system.
2.2.17	The solution should provide the ability to record solution maintenance events for loading new versions of codes and knowledge bases.
2.2.18	The solution should provide the ability to record changing the date and time where the clinical solution allows this to be done.
2.2.19	The solution should provide the ability to record solution maintenance events for creating and restoring of backup.
2.2.20	The solution should provide the ability to record solution maintenance events for archiving any data.
2.2.21	The solution should provide the ability to record solution maintenance events for re-activating of an archived patient record.
2.2.22	The solution should provide the ability to record solution maintenance events for entry to and exit from the EMR solution.
2.2.23	The solution should provide the ability to record solution maintenance events for remote access connections including those for solution support and maintenance activities.
2.2.24	The solution should utilize standardized time keeping (for example using the IHE consistent time profile).
2.2.25	The solution should provide the ability to record and report upon audit information using a standards-based audit record format (for example RFC 3881).
2.3.1	The solution should conform to function IN.5.1 (Interchange Standards).
2.3.2	The solution should conform to function IN.3 (Registry and Directory Services) to enable the use of registries and directories.
2.3.3	The solution should provide the ability to link entities to external information.
2.3.4	The solution should store the location of each known health record component in order to enable authorized access to a complete logical health record if the EMR is distributed among several applications within the EMR.
2.4.1	The solution should provide the ability to extract health record information.
2.4.2	The solution should conform to function IN.1.6 (Secure Data Exchange) to provide secure data exchange capabilities.
2.4.3	The solution should provide the ability to de-identify extracted information.
2.4.4	The solution should conform to function IN.5.1 (Interchange Standards) to enable data extraction in standard-based formats.
2.4.5	The solution should provide the ability to perform extraction operations across the complete data set that constitutes the health record of an individual within the solution.
2.4.6	The solution should provide the ability to perform extraction operations whose output fully chronicles the healthcare process.
2.4.7	The solution should provide the ability to extract data for administrative purposes.
2.4.8	The solution should provide the ability to extract data for financial purposes.
2.4.9	The solution should provide the ability to extract data for research purposes.
2.4.10	The solution should provide the ability to extract data for quality analysis purposes.
2.4.11	The solution should provide the ability to extract data for public health purposes.
2.5.1.1	The solution should capture unstructured health record information as part of the patient EMR.
2.5.1.2	The solution should retrieve unstructured health record information as part of the patient EMR.
2.5.1.3	The solution should provide the ability to update unstructured health record information.
2.5.1.4	The solution should provide the ability to conform to Data Retention, Availability, and Destruction to provide the ability to inactivate, obsolete, or destroy unstructured health record information.
2.5.1.5	The solution should provide the ability to report unstructured health record information.
2.5.1.6	The solution should track unstructured health record information over time.
2.5.1.7	The solution should provide the ability to append corrected unstructured health record information to the original unstructured health record information. A specific type of implementation is not implied.
2.5.1.8	The solution should provide the ability to append unstructured health record information to the original unstructured health record information. A specific type of implementation is not implied.
2.5.1.9	The solution should provide the ability to append augmented unstructured health record information to the original unstructured health record information. A specific type of implementation is not implied.
2.5.2.1	The solution should capture structured health record information as part of the patient EMR.
2.5.2.2	The solution should retrieve structured health record information as part of the patient EMR.
2.5.2.3	The solution should provide the ability to update structured health record information.
2.5.2.4	The solution should conform to Data Retention, Availability, and Destruction to provide the ability to inactivate, obsolete, or destroy structured health record information.
2.5.2.5	The solution should provide the ability to report structured health record information.
2.5.2.6	The solution should track structured health record information over time.
2.5.2.7	The solution should provide the ability to retrieve each item of structured health care information discretely within patient context.
2.5.2.8	The solution should provide the ability to append corrected structured health record information to the original structured health record information. A specific type of implementation is not implied.
2.5.2.9	The solution should provide the ability to append structured health record information to the original structured health record information. A specific type of implementation is not implied.
2.5.2.10	The solution should provide the ability to append augmented structured health record information to the original structured health record information. A specific type of implementation is not implied.
3.1.1	The solution should provide the ability to use registry services and directories.
3.1.2	The solution should provide the ability to securely use registry services and directories.
3.1.3	The solution should conform to Interchange Standards to provide standard data interchange capabilities for using registry services and directories.
3.1.4	The solution should communicate with local registry services through standardized interfaces.
3.1.5	The solution should communicate with non-local registry services (that is, registry services that are external to an EMR) through standardized interfaces.
3.1.6	The solution should provide the ability to use registries or directories to uniquely identify patients for the provision of care.
3.1.7	The solution should provide the ability to use registries or directories to uniquely identify providers for the provision of care.
3.1.8	The solution should provide the ability to use registries or directories to retrieve links to relevant healthcare information regarding a patient.
3.1.9	The solution should provide the ability to use registries to supply links to relevant healthcare information regarding a patient.
3.1.10	The solution should provide the ability to use registries or directories to identify payers, health plans, and sponsors for administrative and financial purposes.
3.1.11	The solution should provide the ability to use registries or directories to identify employers for administrative and financial purposes.
3.1.12	The solution should provide the ability to use registries or directories to identify public health agencies for healthcare purposes.
3.1.13	The solution should provide the ability to use registries or directories to identify healthcare resources and devices for resource management purposes.
4.1.1	The solution should provide the ability to use standard terminologies to communicate with other solutions (internal or external to the EMR).
4.1.2	The solution should provide the ability to validate that clinical terms and coded clinical data exists in a current standard terminology.
4.1.3	The solution should provide the ability to exchange healthcare data using formal standard information models and standard terminologies.
4.1.4	The solution should provide the ability to use a formal standard terminology model.
4.1.5	The solution should provide the ability to use hierarchical inference searches e.g. subsumption across coded terminology concepts that were expressed using standard terminology models.
4.1.6	The solution should provide the ability to use a terminology service (internal or external to the EMR).
4.1.7	If there is no standard terminology model available, then the solution should provide a formal explicit terminology model.
4.2.1	The solution should provide the ability to use different versions of terminology standards.
4.2.2	The solution should provide the ability to update terminology standards.
4.2.3	The solution should relate modified concepts in the different versions of a terminology standard to allow preservation of interpretations over time.
4.2.4	The solution should provide the ability to interoperate with solutions that use known different versions of a terminology standard.
4.2.5	The solution should provide the ability to deprecate terminologies.
4.2.6	The solution should provide the ability to deprecate individual codes within a terminology.
4.2.7	The solution should provide the ability to cascade terminology changes where coded terminology content is embedded in clinical models (for example, templates and custom formularies) when the cascaded terminology changes can ge accomplished unambiguously.
4.2.8	The solution should apply changes in terminology to all new clinical content (via templates, custom formularies).
4.3.1	The solution should provide the ability to use a terminology map.
4.3.2	The solution should provide the ability to use standard terminology services for the purposes of mapping terminologies.
4.3.3	The solution should provide the ability for a user to validate a mapping.
4.3.4	The solution should provide the ability to create a terminology map.
5.1.1	The solution should provide the ability to use interchange standards as required by realm specific and/or local profiles.
5.1.2	The solution should provide the ability to seamlessly perform interchange operations with other solutions that adhere to recognized interchange standards.
5.1.3	The solution should conform to Standard Terminologies and Terminology Services to support terminology standards in accordance with a user's scope of practice, organizational policy, or jurisdictional law.
5.1.4	If there is no standard information model available, then the solution should provide a formal explicit information model in order to support the ability to operate seamlessly with other solutions.
5.1.5	The solution should provide the ability to exchange data using an explicit and formal information model and standard, coded terminology.
5.2.1	The solution should provide the ability to use different versions of interchange standards.
5.2.2	The solution should provide the ability to change (reconfigure) the way that data is transmitted as an interchange standard evolves over time and in accordance with business needs.
5.2.3	The solution should provide the ability to deprecate an interchange standard.
5.2.4	The solution should provide the ability to interoperate with other solutions that use known earlier versions of an interoperability standard.
5.3.1	The solution should provide the ability to support standards-based application integration.
5.4.1	The solution should use interchange agreement descriptions when exchanging information with partners.
5.4.2	The solution should use interchange agreement description standards (when available).
5.4.3	The solution should conform to Registry and Directory Services to interact with entity directories to determine the address, profile, and data exchange requirements of known and/or potential partners.
5.4.4	The solution should provide the ability to automatically discover interchange services and capabilities.
6.1.1	The solution should provide the ability to manage business rules.
6.1.2	The solution should provide the ability to create, import, or access decision support rules to guide solution behavior.
6.1.3	The solution should provide the ability to update decision support rules.
6.1.4	The solution should provide the ability to customize decision support rules and their components.
6.1.5	The solution should provide the ability to inactivate, obsolete, or destroy decision support rules.
6.1.6	The solution should conform to Auditable Records to audit all changes to decision support rules.
6.1.7	The solution should provide the ability to create diagnostic support rules to guide solution behavior.
6.1.8	The solution should provide the ability to update diagnostic support rules.
6.1.9	The solution should provide the ability to customize diagnostic support rules and their components.
6.1.10	The solution should provide the ability to inactivate, obsolete, or destroy diagnostic support rules.
6.1.11	The solution should conform to Auditable Records to audit all changes to diagnostic support rules.
6.1.12	The solution should provide the ability to create workflow control rules to guide solution behavior.
6.1.13	The solution should provide the ability to update workflow control rules.
6.1.14	The solution should provide the ability to customize workflow control rules and their components.
6.1.15	The solution should provide the ability to inactivate, obsolete, or destroy workflow control rules.
6.1.16	The solution should conform to Auditable Records to audit all changes to workflow control rules.
6.1.17	The solution should provide the ability to create access privilege rules to guide solution behavior.
6.1.18	The solution should provide the ability to update access privilege rules.
6.1.19	The solution should provide the ability to customize access privilege rules and their components.
6.1.20	The solution should provide the ability to inactivate, obsolete, or destroy privilege rules.
6.1.21	The solution should conform to Auditable Records to audit all changes to privilege rules.
6.1.22	The solution should conform to Auditable Records to audit all changes to other business rules.
6.1.23	The solution should support the ability to selectively export business rules.
7.1.1	The solution should use workflow-related business rules to direct the flow of work assignments.
7.1.2	The solution should provide the ability to create workflow (task list) queues.
7.1.3	The solution should provide the ability to manage workflow (task list) queues.
7.1.4	The solution should provide the ability to manage human resources (i.e., personnel lists) for workflow queues.
7.1.5	The solution should use solution interfaces that support the management of human resources (i.e., personnel lists).
7.1.6	The solution should use solution interfaces that support the management of workflow (task lists) queues.
7.1.7	The solution should provide the ability to distribute information to and from internal and external parties.
7.1.8	The solution should provide the ability to route notifications and tasks based on solution triggers.
7.1.9	The solution should dynamically escalate workflow according to business rules.
7.1.10	The solution should dynamically redirect workflow according to business rules.
7.1.11	The solution should dynamically reassign workflow according to business rules.
