3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
3.2.1.4	NPAC SMS shall download Number Pooling Block Information, for mass updates, using Subscription Version(s) with LNP Type of POOL, via the NPAC SMS to Local SMS Interface, when the Service Provider's EDR Indicator is FALSE, at the time of the mass update request.  (Previously B-790)
3.2.1.5.1	NPAC SMS shall NOT break up Subscription Versions of LNP Type POOL in a 1K Block, when downloading Number Pooling Block Information, for mass updates, via the NPAC SMS to Local SMS Interface, to non-EDR Local SMSs.  (Previously B-800)
3.2.1.6.1	NPAC SMS shall create an old Block with a new version id for an active Block involved in a mass update before applying changes.  (Previously B-810)
3.2.1.7.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Block with a new version id for an active Block involved in a mass update before applying changes.  (Previously B-820)
3.3.8.1	NPAC SMS shall support an off line batch download (via 4mm DAT tape and FTP file download) to mass update Local SMSs with Subscription Versions, NPA-NXX-X Information, Number Pool Block and Service Provider Network data.
3.3.9.1	NPAC SMS shall be able to communicate creation or deletion of NPA NXX data and LRN data for a Service Provider to Local SMSs and SOAs.
3.3.66.1	NPAC SMS shall be able to communicate creation, modification, or deletion of NPA-NXX-X data for a Service Provider to SOAs or Local SMSs. (Previously N-61)
3.3.67.1.1	NPAC SMS shall inform all Service Providers about the allocation of the NPA-NXX-Xs for pooling to the Block Holder via the SOA to NPAC SMS Interface and/or NPAC SMS to Local SMS interface.
3.3.10.1	NPAC SMS shall inform all Service Providers about the availability of the NPA NXXs for porting via the NPAC SMS to Local SMS and SOA to NPAC SMS interfaces or the Web bulletin board.  The NPA NXX data fields sent via the NPAC SMS to Local SMS and SOA to NPAC SMS interfaces interface are:
3.3.11.1	NPAC SMS shall inform all Service Providers about a new Service Provider and the associated LRNs via the NPAC SMS to Local SMS and SOA to NPAC SMS interfaces. NPAC SMS shall post the new Service Providers and/or new LRNs on the Web bulletin board.
3.3.67.2.1	NPAC SMS shall inform all Service Providers about the allocation of the NPA-NXX-Xs for pooling to the Block Holder via the Web bulletin board.
3.4.1.1.1.1	NPAC SMS shall allow Service Providers to add their NPA-NXX data via the NPAC SMS to Local SMS interface or the SOA to NPAC SMS interface.
3.4.1.1.2.1	NPAC SMS shall allow Service Providers to add their NPA-NXX data with an effective date that is set to a past, present, or future date.
3.4.1.2.1	NPAC SMS shall allow Service Providers to add their LRN data via the NPAC SMS to Local SMS interface or the SOA to NPAC SMS interface.
3.4.3.1.1	NPAC SMS shall allow Service Providers to delete their NPA- NXX data via the NPAC SMS to Local SMS interface or the SOA to NPAC SMS interface provided the changes do not cause any updates to the Subscription Versions, Number Pooling NPA-NXX-X or Number Pooling Block Information.
3.4.3.2.1	NPAC SMS shall allow Service Providers to delete their LRN data via the NPAC SMS to Local SMS interface or the SOA to NPAC SMS interface provided the changes do not cause any updates to the Subscription Versions, or Number Pooling Block Information.
3.4.1.1	NPAC SMS shall provide a mechanism for the Service Provider to indicate whether or not they want NPA-NXX data and LRN data downloaded to their Local SMS via the NPAC SMS to Local SMS Interface and/or SOA via the SOA to NPAC SMS interface.
3.4.2.1	NPAC SMS shall download NPA-NXX data and LRN data via the NPAC SMS to Local SMS Interface and/or the SOA to NPAC SMS interface if the indicator is ON.
3.4.14.1	NPAC SMS shall periodically perform NPAC SMS database extracts of active Subscription Versions on an NPA-NXX basis to an ASCII file.
3.4.15.1	NPAC SMS shall store database extract files at the NPAC SMS FTP site for Local SMS file retrieval.
3.4.16.1	NPAC SMS shall allow NPAC personnel to specify database extract file creation on a weekly, monthly, or quarterly basis.
3.4.17.1	NPAC SMS shall allow NPAC personnel to specify an NPA-NXX for database extract file creation.
3.4.3.1	NPAC SMS shall prevent the entry of pipe characters (|) as part of text strings.
3.4.4.1	PAC SMS shall allow NPAC personnel to create a new LRN for a service provider.
3.4.5.1	NPAC SMS shall synchronize its system clock using NTP to a Stratum 1 host.
3.5.1.1	NPAC SMS shall support a permissive dialing period, during which dialing of both NPAs is allowed during NPA splits.
3.5.2.1	NPAC SMS shall accept both the old and new NPAs during the permissive dialing period, but will only respond and download with the new NPA-NXX, except for query requests that span NPAs.
3.5.3.1	NPAC SMS shall perform an update to remove NPAC SMS mapping of the old NPA-NXX(s) to the new NPA-NXX(s) for Subscription Versions associated with an NPA split after the expiration date of the permissive dialing period.
3.5.4.1.1	The service provider responsible for the NPA split communicates NPA Split information to the NPAC.
3.5.4.1.2	NPAC SMS shall verify that the new and the old NPA-NXX(s) involved in an NPA Split exist when NPAC personnel enter the split information.
3.5.4.2.1	NPAC SMS shall report an error to NPAC personnel and reject the NPA Split upon determining that the new or old NPA-NXX(s) involved in an NPA Split do not exist when the NPA Split information is entered.
3.5.4.3.1	NPAC SMS shall verify that the new NPA-NXX(s) involved in an NPA Split has an effective date equal to the start date of permissive dialing when NPAC personnel enter the NPA Split information.
3.5.4.4.1	NPAC SMS shall report an error to NPAC personnel and reject the NPA Split upon determining that a new NPA-NXX involved in an NPA split has an effective date not equal to the start date of permissive dialing.
3.5.4.5.1	NPAC SMS shall verify that the new NPA-NXX(s) involved in an NPA Split are not currently involved in another NPA Split when NPAC personnel enter the NPA split information.
3.5.4.6.1	NPAC SMS shall report an error to NPAC personnel and reject the NPA Split upon determining that a new NPA-NXX involved in an NPA Split is currently involved in another NPA Split.
3.5.4.7.1	NPA SMS shall verify that only pending, old, conflict, canceled, or cancel pending Subscription Versions exist in the new NPA-NXX involved in an NPA Split upon entering split information.
3.5.4.8.1	NPA SMS shall report an error and reject the NPA Split upon determining that there are Subscription Versions with a status other than pending, old, conflict, canceled, or cancel pending in the new NPA-NXX involved in an NPA Split.
3.5.4.9.1	NPAC SMS shall prevent an old or new NPA-NXX involved in an NPA split from being deleted from the network data during permissive dialing.
3.5.4.11.1	NPAC SMS shall leave the LRN information in Subscription Versions involved in the split unchanged during NPA split processing.
3.5.4.12.1	NPAC SMS shall upon finding a subscription version that exists in the new NPA-NXX that currently exists in the old NPA-NXX during NPA split processing shall do the following and continue processing: •	log an error •	the Subscription Version in the new NPA-NXX will be moved to old if active or to canceled if it is in any pending state. •	the Subscription Version in the old NPA-NXX will be modified to the new NPA-NXX.
3.5.4.13.1	NPAC SMS shall leave filters for NPA-NXX(s) involved in an NPA split unchanged.
3.5.4.14.1	NPAC SMS shall query the LSMS systems for the new NPA-NXX(s) when an audit is run during the NPA split permissive dialing period.
3.5.4.15.1	The NPAC SMS shall require the following data for entry of NPA Split information into the NPAC: •	the Service Provider Id •	the old and new NPA •	the affected NXX(s) •	the start date of the permissive dialing period •	the end date of the permissive dialing period
3.5.4.16.1	NPAC SMS shall allow the modification of the end of permissive dialing during permissive dialing provided the date is not less than the current date.
3.5.4.17.1	NPAC SMS shall allow the removal of an NPA-NXX during permissive dialing from the NPA Split information as an NPA-NXX involved in the NPA Split.
3.5.4.18.1	NPAC SMS shall upon removal of an NPA-NXX during permissive dialing modify the TN of any subscription versions involved in a split existing in the new NPA-NXX to the old NPA-NXX. This processing includes subscription versions that did not previously exist prior to the NPA Split.
3.5.4.19.1	NPAC SMS shall not allow the addition of an NPA-NXX to an NPA Split after the split data is entered.  Additional NPA-NXX(s) may be handled by entering a new NPA split into the NPAC SMS.
3.5.4.20.1	NPAC SMS shall allow the removal of pending NPA Split information prior to the start of the permissive dialing period.
3.5.4.21.1	NPAC SMS shall log and remove NPA Split Information from the NPAC SMS at the end of the permissive dialing period.
3.5.4.22.1	NPAC SMS shall broadcast no information to the SOA(s) or LSMS(s) about the creation, modification, or deletion of Subscription Versions due to NPA Split processing on the NPAC SMS.
3.5.4.23.1	NPAC SMS shall retain the Subscription Version Id of the Subscription Versions involved in an NPA Split.
3.5.4.24.1	NPAC SMS shall update all Subscription Versions with a status other than old or canceled with the new NPA at the beginning of the Permissive Dialing Period.
3.5.4.25.1	NPAC SMS shall verify that the old NPA-NXX(s) involved in an NPA Split are not currently involved in another NPA Split when NPAC personnel enter the NPA split information.
3.5.4.26.1	NPAC SMS shall report an error to NPAC personnel and reject the NPA Split upon determining that an old NPA-NXX involved in an NPA Split is currently involved in another NPA Split.
3.5.4.27.1	NPAC SMS shall verify that the end date of permissive dialing is greater than the start date except in cases where there is no permissive dialing period.
3.5.4.28.1	NPAC SMS shall verify that the owner of the old NPA-NXX matches the owner of the new NPA-NXX for each NXX in a NPA split.
3.5.4.29.1	NPAC SMS shall report an error to NPAC personnel and reject the NPA Split upon determining that the owner of the old NPA-NXX does not match the owner of the new NPA-NXX for each NXX in a NPA split.
3.5.4.30.1	NPAC SMS shall change the old NPA-NXX to the new NPA-NXX when a Subscription Version is created with the old NPA-NXX during the permissive dialing period.
3.5.4.31.1	NPAC SMS shall support a Current and Pending NPA Split Report for NPA Splits before or during their permissive dialing period that contains all split data entered as defined in RN3-4.15.
3.5.4.32.1	NPAC SMS shall support a NPA Split History Report for completed NPA Splits that contains all split data entered as defined in RN3-4.15.
3.5.4.36.1 	NPAC SMS shall create an old Subscription Version with a new version id for an active Subscription Version involved in an NPA split at the start of permissive dialing for the old NPA.
3.5.4.37.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Subscription Version with a new version id for an NPA split.
3.5.219.1	NPAC SMS shall automatically delete the old NPA-NXX from the Portable NPA-NXX Information in the NPAC, upon reaching the end of the permissive dialing period for the old NPA-NXX involved in an NPA Split.
3.5.1.31.1	NPAC SMS shall automatically create a new NPA-NXX-X in the Number Pooling NPA-NXX-X Information, when a valid request is made to add an NPA Split, if the old NPA-NXX-X exists, but the new NPA-NXX-X does NOT exist in the Number Pooling NPA-NXX-X Information. (Previously N-300)
3.5.1.32.1	NPAC SMS shall reject the request and generate an error message to the NPAC Personnel when a request is made to add an NPA Split, and the new NPA-NXX-X already exists in the Number Pooling NPA-NXX-X Information. (Previously N-301)
3.5.1.33.1	NPAC SMS shall populate the fields for the automatically generated new NPA-NXX-X in the Number Pooling NPA-NXX-X Information, when a request is made to add an NPA Split or an old NPA-NXX-X is created during a split.
3.5.1.34.1	NPAC SMS shall NOT schedule the Creation of a Block and Subscription Versions with LNP Type of POOL, for an NPA-NXX-X that is automatically generated by the NPAC SMS in the Number Pooling NPA-NXX-X Information, as a result of a request to add an NPA Split.  (Previously N-303)
3.5.1.35.1	NPAC SMS shall upon the removal of an NPA-NXX from an NPA Split prior to the end of permissive dialing, remove the new NPA-NXX-X from the NPA-NXX-X Holder Information.  (Previously N-310)
3.5.1.36.1.1	NPAC SMS shall, upon entry of an old NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, automatically add an entry for the new NPA-NXX-X for an NPA-NXX scheduled for an NPA Split. (Previously N-320.1)
3.5.1.36.2.1	NPAC SMS shall reject the request and generate an error message to the NPAC Personnel when a request is made to add a new NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, and the NPA-NXX is scheduled for an NPA Split. (Previously N-320.2)
3.5.1.36.3.1	NPAC SMS shall, upon entry of an NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, automatically add an entry for the new/old NPA-NXX-X for an NPA-NXX currently in Permissive Dialing in an NPA Split. (Previously N-320.3)
3.5.1.37.1.1	NPAC SMS shall, upon modification of an old NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, automatically modify the corresponding entry for the new NPA-NXX-X for an NPA-NXX scheduled for an NPA Split, if the new Effective Date is Greater Than or Equal To the start of the Permissive Dialing Period.  If the modified Effective Date value is Less Than the start of the Permissive Dialing Period, then the new NPA-NXX-X’s Effective Date is Equal To the start of the Permissive Dialing Period. (Previously N-321.1)
3.5.1.37.2.1	NPAC SMS shall reject the request and generate an error message to the NPAC Personnel when a request is made to modify a new NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, and the NPA-NXX is scheduled for an NPA Split. (Previously N-321.2)
3.5.1.37.3.1	NPAC SMS shall, upon modification of an NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, automatically modify the old/new NPA-NXX-X for an NPA-NXX currently in Permissive Dialing in an NPA Split.
3.5.1.38.1.1	NPAC SMS shall, upon de-pooling of an old NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, prior to the start of the Permissive Dialing Period, automatically de-pool the corresponding entry for the new NPA-NXX-X for an NPA-NXX scheduled for an NPA Split, at the time the requested NPA-NXX-X is de-pooled.  (Previously N-322.1)
3.5.1.38.2.1	NPAC SMS shall reject the request and generate an error message to the NPAC Personnel when a request is made to de-pool a new NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, and the NPA-NXX is scheduled for an NPA Split. (Previously N-322.2)
3.5.1.38.3.1	NPAC SMS shall, upon de-pool of an NPA-NXX-X in the Number Pooling NPA-NXX-X Holder Information, automatically de-pool the old/new NPA-NXX-X for an NPA-NXX currently in Permissive Dialing in an NPA Split, at the time the requested NPA-NXX-X is de-pooled.
3.5.1.39.1	NPAC SMS shall broadcast NPA-NXX-X data defined in RR3-31, RR3-35, RR3-36.1, RR3-36.3, RR3-37.1, RR3-37.3, RR3-38.1, and RR3-38.3, that is added or deleted for an NPA Split; this broadcast shall occur as defined in requirements RR3-66, RR3-67.1, RR3-67.2, RR3-68, RR3-69, RR3-70, RR3-71, RR3-72 and RR3-73.  (Previously N-325)
3.5.1.40.1	NPAC SMS shall automatically delete the old NPA-NXX-X from the Number Pooling NPA-NXX-X Holder Information, upon reaching the end of the permissive dialing period for the old NPA-NXX of the NPA-NXX-X. (Previously N-326)
3.5.2.41.1	NPAC SMS shall upon the start of permissive dialing for an NPA Split, convert the old NPA-NXX to the new NPA-NXX in the Number Pooling Block Information.  (Previously B-490)
3.5.2.42.1	NPAC SMS shall upon the removal of an NPA-NXX from an NPA Split, after the start of permissive dialing, reinstate the original NPA for the NXX-X in the Block Holder Information.  (Previously B-500)
3.5.2.43.1	NPAC SMS shall convert the old NPA-NXX to the new NPA-NXX for a Block involved in an NPA Split upon creation in the Number Pooling Block Holder Information, if the old NPA-NXX is currently in permissive dialing. (Previously B-510)
3.5.2.44.1	NPAC SMS shall accept a Block create request from NPAC personnel, Service Provider via the SOA to NPAC SMS Interface or Service Provider via the NPAC SOA Low-tech Interface, with either the old NPA-NXX or the new NPA-NXX for an NPA-NXX that is currently in permissive dialing. (Previously B-520)
3.5.2.45.1	NPAC SMS shall broadcast a Block create to an EDR Local SMS, via the NPAC SMS to Local SMS Interface, by sending a Block using the new NPA-NXX for an NPA-NXX that is currently in permissive dialing. (Previously B-530)
3.5.2.46.1	NPAC SMS shall accept a Block modify active request from NPAC personnel, Service Provider via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, with either the old NPA-NXX or the new NPA-NXX for an NPA-NXX that is currently in permissive dialing. (Previously B-540)
3.5.2.47.1	NPAC SMS shall broadcast a Block modify active to an EDR Local SMS, via the NPAC SMS to Local SMS Interface, by sending a Block using the new NPA-NXX for an NPA-NXX that is currently in permissive dialing. (Previously B-550)
3.5.2.48.1	NPAC SMS shall broadcast a Block delete request to an EDR Local SMS, via the NPAC SMS to Local SMS Interface, by sending a Block using the new NPA-NXX for an NPA-NXX that is currently in permissive dialing. (Previously B-551)
3.5.2.49.1	NPAC SMS shall accept a mass update request from NPAC personnel that spans one or more Blocks that are part of an NPA Split that is currently in permissive dialing only when the new NPA-NXX is used.
3.5.2.50.1	NPAC SMS shall broadcast a mass update that could span one or more Blocks to an EDR Local SMS, via the NPAC SMS to Local SMS Interface, using the new NPA-NXX for an NPA-NXX that is currently in permissive dialing. (Previously B-553)
3.5.2.51.1.1	NPAC SMS shall create an old Block with a new version id for an active Block involved in an NPA split at the start of permissive dialing for the old NPA.  (Previously B-554.1)
3.5.2.51.2.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Block with a new version id for an NPA split.  (Previously B-554.2)
3.5.2.218.1	NPAC SMS shall broadcast the Subscription Versions with LNP Type of POOL using the new NPA-NXX, for an addition, modification, deletion, re-send, resync, or mass update, to a non-EDR Local SMS, via the NPAC SMS to Local SMS Interface, for an NPA-NXX that is currently in permissive dialing. (Previously SV-430)
3.6.5.1	NPAC SMS shall allow a Service Provider to create a filtered NPA-NXX for a given Local SMS, via the NPAC SMS to Local SMS interface and the SOA to NPAC SMS interface, which results in the SMS NOT broadcasting NPA-NXX information, subscription versions, NPA-NXX-X information or Number Pool Blocks with the filtered NPA-NXX to the Local SMS.
3.6.6.1	NPAC SMS shall allow a Service Provider to delete a filtered NPA-NXX for a given Local SMS, via the NPAC SMS to Local SMS interface and the SOA to NPAC SMS interface, which results in the SMS broadcasting NPA-NXX information, subscription versions, NPA-NXX-X information and Number Pool Blocks with the filtered NPA-NXX to the given Local SMS.
3.6.7.1	NPAC SMS shall allow a Service Provider to query filtered NPA-NXXs for a given Local SMS via the NPAC SMS to Local SMS interface and the SOA to NPAC SMS interface.
3.6.8.1	NPAC SMS shall return to the requesting Service Provider all filtered NPA-NXXs for a given Local SMS when the NPA-NXX is NOT input upon a Filter NPA-NXX Query via the NPAC SMS to Local SMS interface and the SOA to NPAC SMS interface.
3.6.9.1	NPAC SMS shall return to the requesting Service Provider a single NPA-NXX for a given Local SMS when the NPA-NXX is input upon a filtered NPA-NXX Query via the NPAC SMS to Local SMS interface and the SOA to NPAC SMS interface.
3.7.10.1	NPAC SMS shall support definition and processing of long and short business hours and days for operations involving business time calculation.
3.7.11.1	NPAC SMS short business days shall be Monday through Friday excluding NPAC operations-defined holidays.
3.7.30.1	NPAC SMS long business days shall be Monday through Saturday excluding NPAC operations-defined holidays.
3.7.12.1.1	NPAC SMS shall provide long and short Business Day Duration tunable parameters, which are defined as the number of hours from the tunable business day start time.
3.7.12.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the long and short Business Day Duration tunable parameters.
3.7.12.3.1	NPAC SMS shall default the short Business Day Duration tunable parameter to 12 hours.
3.7.12.4.1	NPAC SMS shall default the long Business Day Duration tunable parameter to 12 hours.
3.7.13.1.1	NPAC SMS shall provide long and short Business Day Start Time tunable parameters, which are defined as the start of the business day in Central Time (standard/daylight).
3.7.13.2.1	NPAC SMS shall set the long and short Business Day Start Time tunable parameters to the value specified by the contracting region.
3.7.13.3.1	NPAC SMS shall default the short Business Day Start Time tunable parameter to 7:00 AM, Central Time (standard/daylight).
3.7.13.4.1	NPAC SMS shall default the long Business Day Start Time tunable parameter to 8:00 AM, Central Time (standard/daylight).
3.7.14.1	NPAC SMS shall allow NPAC operations personnel to add/delete business holidays.
3.8.16.1	NPAC SMS shall allow NPAC personnel to store a primary service provider id with the associated service provider id that it will service.
3.8.17.1	NPAC SMS shall allow NPAC personnel to delete an associated service provider id that is serviced by a primary service provider id.
3.8.18.1	NPAC SMS shall validate that the primary and associated service provider ids specified in the NPAC Customer Associated Service Provider Information are valid service provider ids defined in the NPAC SMS.
3.8.19.1	NPAC SMS shall validate that the associated service provider id is not already specified as a primary or associated service provider id in the NPAC Customer Associated Service Provider Information.
3.8.5.1	Associated service providers using services from another primary service provider’s SOA must use another service provider id if they choose to interact with the NPAC independently from the primary service provider.
3.8.20.1	NPAC SMS shall report an error to the user and reject the addition of NPAC Customer Associated Service Provider Information if validation errors occur.
3.8.21.1	NPAC SMS shall prevent a service provider from being deleted in the NPAC SMS if it exists in the NPAC Customer Associated Service Provider Information as a primary or associated service provider id.
3.8.22.1	NPAC SMS shall reject any SOA to NPAC SMS association attempt by a Service Provider Id that is a service provider associated with the primary Service Provider Id in the NPAC Customer Associated Service Provider Information.
3.8.23.1	NPAC SMS shall support the specification of an associated service provider id in the access control field over a SOA to NPAC SMS association for the primary service provider provided the associated service provider id is defined in the NPAC Associated Service Provider Information for the primary service provider id.
3.8.24.1	NPAC SMS shall validate the old and new/current service provider id for a message sent over the SOA to NPAC SMS association for the primary association as is done today using the service provider id specified in the access control for the message.
3.8.25.1	NPAC SMS shall accept and send keys from the key lists associated with the primary service provider for all SOA to NPAC SMS messages sent over the association for the primary service provider.
3.8.26.1	NPAC SMS shall send all SOA notifications for an associated Service Provider over the SOA to NPAC SMS interface association for the primary service provider.
3.8.1.1	NPAC SMS aggregation of all messages over the SOA to NPAC SMS interface for primary and associated service provider ids will not be supported by the NPAC SMS.
3.8.27.1	NPAC SMS shall apply NPA-NXX filters for the associated Service Provider Id before sending them over the SOA to NPAC SMS interface association for the primary service provider.
3.8.28.1	NPAC SMS shall support messages containing primary and associated service provider ids that are interleaved over the SOA to NPAC SMS interface association for the primary service provider.
3.8.29.1	NPAC SMS shall support the recovery of network data or notifications for an associated Service Provider over a SOA to NPAC SMS association in recovery mode for a primary service provider.
3.9.220.1	NPAC SMS shall provide a mechanism that allows a Service Provider to recover network data and subscription data in file format.
3.9.221.1	NPAC SMS shall follow the file naming convention as described in Appendix E.
3.9.222.1	NPAC SMS shall follow the file format as described in Appendix E.
3.9.223.1	NPAC SMS shall allow network data only, subscription data only, or both, as selection criteria for bulk data download file generation.
3.9.224.1	NPAC SMS shall require, as selection criteria for network bulk data download file generation, a Service Provider filter of either a single Service Provider ID or ‘All Service Providers’.
3.9.225.1	NPAC SMS shall require, as selection criteria for subscription bulk data download file generation, a Service Provider filter of either a single Service Provider ID or ‘All Service Providers’, and a start NPA-NXX-station (10-digits).
3.9.226.1	NPAC SMS shall accept, as optional selection criteria for subscription bulk data download file generation, an end NPA-NXX-station (10 digits), a start activation date and time, and an end activation date and time.
3.9.227.1	NPAC SMS shall automatically put the subscription bulk data download file into the FTP sub-directory of the Service Provider, based on SPID, that requested the creation of the subscription bulk data download file.
3.10.1.52.1	NPAC SMS shall provide a mechanism to indicate whether a Service Provider supports receiving the NPA-NXX-X data, by downloading this data to their SOA via the SOA to NPAC SMS Interface, using the Number Pooling NPA-NXX-X Object. (Previously NC-1)
3.10.1.53.1	NPAC SMS shall default the SOA NPA-NXX-X Indicator to FALSE. (Previously NC-3)
3.10.1.54.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the SOA NPA-NXX-X Indicator on the NPAC Customer record. (Previously NC-5)
3.10.1.55.1	NPAC SMS shall provide a mechanism to indicate whether a Service Provider supports receiving the NPA-NXX-X data, by downloading this data to their Local SMS via the NPAC SMS to Local SMS Interface, using the Number Pooling NPA-NXX-X Object. (Previously NC-10)
3.10.1.56.1	NPAC SMS shall default the LSMS NPA-NXX-X Indicator to FALSE. (Previously NC-20)
3.10.1.57.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the LSMS NPA-NXX-X Indicator on the NPAC Customer record. (Previously NC-30)
3.10.1.58.1	NPAC SMS shall provide a mechanism to indicate whether a Service Provider supports Efficient Data Representation (EDR), by downloading this data to their Local SMS via the NPAC SMS to Local SMS Interface, using the Number Pooling Block Object. (Previously NC-50)
3.10.1.59.1	NPAC SMS shall default the EDR Indicator to FALSE. (Previously NC-60)
3.10.1.60.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the EDR Indicator on the NPAC Customer record. (Previously NC-70)
3.10.2.61.1	NPAC SMS shall allow NPAC Personnel to add, modify, delete, and query NPA-NXX-X Holder information via the NPAC Administrative Interface. (Previously N-10)
3.10.2.62.1	NPAC SMS shall reject a request from a Service Provider SOA via the SOA to NPAC SMS Interface, Service Provider via the NPAC SOA Low-tech Interface, or Service Provider via the NPAC SMS to Local SMS Interface, to add, modify, or delete, NPA-NXX-X Holder information as stored in the NPAC SMS. (Previously N-20)
3.10.2.63.1	NPAC SMS shall validate that the NPA-NXX specified in the addition of Number Pooling NPA-NXX-X Holder information is a valid NPA-NXX defined in the NPAC SMS. (Previously N-30)
3.10.2.64.1	NPAC SMS shall validate that the effective date of the NPA-NXX-X is equal to, or greater than, the effective date of the NPA-NXX as defined in the NPAC SMS. (Previously N-40)
3.10.2.65.1	NPAC SMS shall validate that the NPA-NXX-X specified in the addition of Number Pooling NPA-NXX-X Holder Information is not a duplicate for another entry in the Number Pooling NPA-NXX-X Holder Information. (Previously N-50)
3.10.2.68.1	NPAC SMS shall download Number Pooling NPA-NXX-X Information, for additions, modifications, and deletions, using the Number Pooling NPA-NXX-X Object, via the NPAC SMS to Local SMS Interface if the Service Provider's Local SMS NPA-NXX-X indicator is TRUE. (Previously N-63)
3.10.2.69.1	NPAC SMS shall suppress the download of Number Pooling NPA-NXX-X Information, for additions, modifications, and deletions, via the NPAC SMS to Local SMS Interface if the Service Provider's Local SMS NPA-NXX-X indicator is FALSE. (Previously N-64)
3.10.2.70.1	NPAC SMS shall apply NPA-NXX Filters to NPA-NXX-X downloads to the Local SMS(s). (Previously N-65)
3.10.2.71.1	NPAC SMS shall download Number Pooling NPA-NXX-X Information, for additions, modifications, and deletions, using the Number Pooling NPA-NXX-X Object, via the SOA to NPAC SMS Interface if the Service Provider's SOA NPA-NXX-X indicator is TRUE. (Previously N-66)
3.10.2.72.1	NPAC SMS shall suppress the download of Number Pooling NPA-NXX-X Information, for additions, modifications, and deletions, via the SOA to NPAC SMS Interface if the Service Provider's SOA NPA-NXX-X indicator is FALSE. (Previously N-67)
3.10.2.73.1	NPAC SMS shall apply NPA-NXX Filters to NPA-NXX-X downloads to the SOA(s). (Previously N-68)
