3.1.1.1	The BE shall receive LTA or Speed Dump Lag Frames from the Correlator.
3.3.2.5	The BE System shall have sufficient storage (memory and/or disk) with sufficient access speeds to meet short duration Correlator bursting demands (level TBD) plus a standby reserve (amount TBD) to meet reliability needs and handle outage recovery demands.
3.3.3.1	all math/science application software shall take optimal advantage of all language, compiler, and system computational features and resources to reduce run times to the minimum practical level.
3.3.3.2	all management software functions shall take optimal advantage of all language, compiler and system features and resources to reduce overheads to the minimum practical level.
3.3.3.3	all input and output, and storage and retrieval operations shall take optimal advantage of all system resources to reduce overhead and latency to the minimal practical level.
3.3.3.4	all data processing functions shall be chainable (outputs pipeable to inputs) and repeatable in the processing pipeline in cases where this makes computational sense.
3.3.3.5	Operating system, message passing and other middle-ware, and programming language(s) used shall follow industry standards and be commonly available and widely used. Availability of source code for the OS will be very important.
3.4.1	the Backend System shall be self-monitoring. It will be  capable of detecting, reporting on and automatically taking action to remedy or lessen the impact of, at a minimum, the following types of abnormal conditions: processor hardware failure, operating system hangs or crashes, computational performance below minimum specifications, computational error rates above maximum specification, internal communications failures, and external (with the Correlator and E2E) communications disruptions.
3.4.2	the software part of the system shall be able to perform without total system restart due to internal failure between array maintenance windows.
3.4.3	the hardware part of the system shall be able to perform indefinitely without complete loss of service, except in the event of total failure of primary and backup power.
3.4.4	the system shall be capable of responding in a loss-less manner to I/O and processing changes arising from Correlator mode changes.
3.4.5	the system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System.
3.4.6	the system shall be able to complete processing of all onboard data, deliver the results to the End-to-End System and maintain availability for immediate resumption of operations once Correlator access is restored.
3.4.7	the system shall continue to operate during the absence of EVLA Operations System SRS 15the M&C System until the first encounter of unavailable critical auxiliary data. The system will cache a predetermined amount (TBD) of correlator data after the first encounter of unavailable critical data and complete all requested operations on cached data once the unavailable critical data is obtained.
3.4.8	the system shall be able to sit at idle and resume operations with minimal (amount TBD) delay.
3.5.1	all system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration.
3.5.2	all systems and application source code shall be available to or on the systems that execute it.
3.5.3	all software application modules shall be debuggable.
3.5.4	all software processes shall be killable, restartable, debuggable and testable without affecting normal operations.
3.6.1	software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support.
3.6.2	operating system software shall either have source code available or come with sufficient diagnostics and customer support.
3.7.1	I/O, communications, and processing hardware shall be easily expandable, reconfigureable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.
3.7.2 	Requirement 3.7.1, above, shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables.
3.7.3	Requirement 3.7.1, above, shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.
3.7.4	the Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.
3.8.1	All users of the system shall login using some form of unique identification. (e.g., username and password)
3.8.2	All login attempts shall be done in a secure manner. (e.g., encrypted passwords)
3.8.3	A system administrator shall have unrestricted access to all aspects of the system.
3.8.4	Each user shall have a set of system access properties that defines the user’s privileges within the system.  (e.g., the subsystems a user may control or system tools the user may access).
3.8.5	The administrator shall have the ability to create and add a new user to the system.
3.8.6	The administrator shall have the ability to remove a user from the system.
3.8.7	The administrator shall have the ability to edit a user’s system access properties.
3.8.8	The administrator shall have the ability to block all access to the system for all users or selectively by user. (All blocked users with active sessions shall automatically be logged off.)
3.9.1	the system shall continue operations, although not necessarily at full capacity, on all unaffected resources during partial shutdowns for maintenance, repair and/or upgrade.
3.9.2	the system shall be able to handle non-real-time operations in a transparent fashion (i.e., as if real-time).  Note: non-real-time refers to input data from a source other than the Correlator (defined as real-time).
3.9.3	modular design principles shall be employed to the maximum extent possible. Maximal practical use of available “hot-swappable” devices and components shall be made.
3.10.1	complete and comprehensible hardware systems specifications and configuration information shall be readily available.
3.10.2	software system and application code shall be well documented and written in a generally familiar language or languages (preferably not more than two).  Software shall be written in a style that is easily readable and using practices that allow for minimal confusion.
