CCHIT Certified 2011 Ambulatory EHR 
Certification Criteria
May 17, 2011

© 2011 The Certification Commission for Health Information Technology	

P = Previous Criterion 
M = Modified
N = New for Year
O = Optional
																		
																						
																						
																						
																						
Internal sort column	Criteria #	Category	Criteria	Year introduced or last modified	2011 Certification	Comments	Criteria Reference	"Test Script and Step Number

AMB = Ambulatory Test Script
SEC = Security Test Script"														
2011.AM.011	FN 01.02	Manage Patient Demographics	The system shall capture and maintain demographic information as discrete data elements as part of the patient record.	2008	P	"Examples of a minimum set of demographic data elements include:  name, address, phone number and date of birth.  It is assumed that all demographic fields necessary to meet legislative, regulatory, research and public health requirements will be included.
This criterion will be replaced by FN 01.01.01.
"		AMB 1.02, 1.06														
2011.AM.012	FN 02.01	Manage Patient Demographics	The system shall provide the ability to query for a patient by more than one form of identification.	2007	P	For example, patient last name, medical record number, account number or phone number.	Source is WG discussion and cross-group harmonization.	AMB 1.03														
2011.AM.013	FN 03.01	Manage Practitioner/Patient Relationships 	The system shall provide the ability to capture and maintain, as discrete data elements, the identity of all providers associated with a specific patient encounter.	2008	P	A provider is defined as anyone delivering clinical care such as physicians, PAs, CNPs and Nurses; the provider is the person who completes the note. 	S.3.4	AMB ADM.07														
2011.AM.014	FN 03.02	Manage Practitioner/Patient Relationships 	The system shall provide the ability to capture and maintain, as discrete data elements, the principal provider responsible for the care of an individual patient.	2008	P		"S.3.4
"	AMB 4.05														
2011.AM.015	FN 04.02	Manage problem list	The system shall provide the ability to capture, maintain and display, as discrete data elements, all problems/diagnoses associated with a patient.	2009	N	Would include current/active and past/resolved problems.	Source is WG discussion and cross-group harmonization.	AMB 2.07, 4.11														
2011.AM.016	AM 03.03	Manage problem list	The system shall provide the ability to maintain the onset date of the problem/diagnosis.	2006	P	It is a vendor design decision whether to require complete date or free text of approximate date.	DC.1.4.3	AMB 2.07														
2011.AM.017	AM 03.04	Manage problem list	The system shall provide the ability to maintain the resolution date of the problem/diagnosis.	2009	N		Source is public comments and WG discussion.	AMB 4.11														
2011.AM.018	AM 03.05	Manage problem list	The system shall provide the ability to record the chronicity (chronic, acute/self-limiting, etc.) of a problem/diagnosis.	2006	P		DC.1.4.3	Does not appear in test script; see Certification Handbook 														
2011.AM.019	AM 03.06	Manage problem list	The system shall provide the ability to record the user ID and date of all updates to the problem/diagnosis list. 	2006	P		DC.1.4.3	AMB 4.11														
2011.AM.020	AM 03.07	Manage problem list	The system shall provide the ability to associate orders, medications, and notes with one or more problems/diagnoses.	2008	P	"Association can be made in structured data or in non-structured data.

This item will be removed once AM 08.03.01 and AM 08.03.02 are both in effect.
"	DC.1.4.3	AMB 1.64, 4.35														
2011.AM.021	AM 03.08.01	Manage problem list	The system shall provide the ability to associate orders and medications with one or more codified problems/diagnoses.	2009	N		Source is public comments and WG discussion.	AMB  4.35														
2011.AM.023	AM 03.09	Manage problem list	The system shall provide the ability to maintain a coded list of problems/diagnoses.	2007	P	For example:  ICD-9 CM, ICD-10 CM,  SNOMED-CT, DSM-IV.  The Work Group will not specify which code set(s) are to be employed.	DC.1.4.3	AMB 2.06, 4.11, 4.32														
2011.AM.024	FN 04.06	Manage problem list	The system shall provide the ability to display different views of the problem / diagnosis list based upon the status of the problem.	2009	N	For example, active, all, or resolved or charted in error.	Source is WG discussion and cross-group harmonization.	AMB 4.14														
2011.AM.025	FN 04.01	Manage problem list	The system shall provide the ability to capture, maintain and display free text comments associated with the problem / diagnosis.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 4.52														
2011.AM.026	AM 04.02	Manage medication list	The system shall provide the ability to record the prescribing of medications including the identity of the prescriber.	2006	P		DC.1.4.2	AMB 1.64														
2011.AM.027	AM 04.03	Manage medication list	The system shall provide the ability to maintain medication ordering dates.	2006	P		DC.1.4.2	AMB 1.43														
2011.AM.028	AM 04.04	Manage medication list	The system shall provide the ability to maintain other dates associated with medications including start, modify, renewal and end dates as applicable.	2006	P		DC.1.4.2	AMB 1.43, 1.49, 4.19, 4.20														
2011.AM.029	AM 04.05	Manage medication list	The system shall provide the ability to display medication history for the patient.	2006	P	"For clarification, medication history includes all medications prescribed since the EMR was established.
"	DC.1.4.2	AMB 4.36														
2011.AM.030	AM 04.06	Manage medication list	The system shall provide the ability to capture medications entered by authorized users other than the prescriber.	2006	P	"It is important to have all current medications in the system for drug interaction checking. This in the future would include the incorporation of medication history obtained from outside  electronic interfaces from insurers, PBMs, etc. ""User"" means medical and non-medical staff who are authorized by policy to enter prescriptions or other documentation. 
"	DC.1.4.2	AMB 4.31, 4.36														
2011.AM.031	AM 04.07	Manage medication list	"The system shall store medication information in discrete data fields.  At a minimum, there must be one field for each of the following:
- medication name, form and strength;
- dispense quantity;
- refills; and
- sig."	2009	N		DC.1.4.2	AMB 1.64														
2011.AM.032	AM 04.09	Manage medication list	The system shall provide the ability to enter uncoded or free text medications when medications are not on the vendor-provided medication database or information is insufficient to completely identify the medication.	2007	P	Medications that are not on the vendor-provided medication database or not enough information is available to completely identify the medication. This could be either uncoded (Synthroid unknown dose) or free text (blue hypertension pill).	Source is public comments and WG discussion.	AMB 4.24														
2011.AM.033	AM 04.10	Manage medication list	The system shall provide the ability to enter or further specify in a discrete field that the patient takes no medications.	2007	P		Source is public comments and WG discussion.	AMB 4.87														
2011.AM.034	AM 04.11	Manage medication list	The system shall provide the ability to record the date of changes made to a patient's medication list and the identity of the user who made the changes.  	2007	P	"This information may appear as an optional view rather than a required view on the main screen.  Need to capture the identity of the user and the date of changes made.
Changes are to be recorded at the level of the individual medication."	Source is public comments and WG discussion.	AMB 4.26														
2011.AM.035	FN 06.01	Manage medication list	The system shall provide the ability to update and display a patient-specific medication list based on current medication orders or prescriptions.	2007	P		DC.1.4.2	AMB 1.50, 4.19, 4.20, 4.36, 4.65														
2011.AM.036	FN 06.02	Manage medication list	The system shall provide the ability to display a view that includes only current medications.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 4.21, 4.31														
2011.AM.037	FN 06.03	Manage medication list	The system shall provide the ability to exclude a medication from the current medication list (e.g. marked inactive, erroneous, completed, discontinued) and document reason for such action.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 4.25, 4.36														
2011.AM.038	FN 06.04	Manage medication list	The system shall provide the ability to print a current medication list.	2006	P		DC.1.4.2	Does not appear in test script; see Certification Handbook 														
2011.AM.039	FN 06.05	Manage medication list	The system shall provide the ability to display that the patient takes no medications.	2008	P		Source is WG discussion and cross-group harmonization.	AMB 4.87														
2011.AM.040	FN 06.06	Manage medication list	The system shall provide the ability to capture and maintain, as discrete data elements, all current medications including over-the-counter and complementary medications such as vitamins, herbs and supplements.	2008	P		DC.1.4.2	AMB 4.19, 4.20, 4.27, 4.31, 4.36														
2011.AM.041	FN 05.01	Manage allergy and adverse reaction list	The system shall provide the ability to modify or inactivate an item on the allergy and adverse reaction list.	2006	P	"This could include removal, marking as erroneous, or marking as inactive.  ""Remove"" in this context implies specifying that an allergy or allergen specification is no longer valid or active, as opposed to deleting the information from the database entirely.
Could include changing the type of reaction for a particular allergy.
"	Source is WG discussion and cross-group harmonization.	AMB 1.14														
2011.AM.042	AM 05.03	Manage allergy and adverse reaction list	The system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list. 	2009	N		DC.1.4.1	AMB 1.26														
2011.AM.043	FN 05.04	Manage allergy and adverse reaction list	The system shall provide the ability to specify the type of allergic or adverse reaction in a discrete data field.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 1.16														
2011.AM.044	FN 05.05	Manage allergy and adverse reaction list	The system shall provide the ability to capture and maintain, as discrete data, the identity of the user who added, modified, inactivated or removed items from the allergy and adverse reaction list, including attributes of the changed items.  The user ID and date/time stamp shall be recorded.	2008	P	Attributes include the name of the allergen and the action (added, modified, inactivated or removed).	Source is WG discussion and cross-group harmonization.	AMB 1.17														
2011.AM.045	FN 05.07	Manage allergy and adverse reaction list	The system shall provide the ability for a user to explicitly capture and maintain, as discrete data, that the allergy list was reviewed.  The user ID and date/time stamp shall be recorded when the allergies reviewed option is selected.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 1.27, 1.28														
2011.AM.046	FN 05.09	Manage allergy and adverse reaction list	The system shall provide the ability to explicitly indicate in a discrete field that a patient has no known drug allergies or adverse reactions.	2009	N		Source is WG discussion and cross-group harmonization.	AMB 2.02														
2011.AM.047	FN 05.12	Manage allergy and adverse reaction list	The system shall provide the ability to display the allergy list, including date of entry.	2009	N	"It must be possible for a user to view the date of entry for any allergy on the allergy list,  but it is acceptable if that is viewed on another screen, e.g. a 'details' screen.
"	Source is WG discussion and cross-group harmonization.	AMB 1.25														
2011.AM.048	FN 05.13	Manage allergy and adverse reaction list	The system shall provide the ability to capture, maintain and display, as discrete data, lists of medications and other agents to which the patient has had an allergic or other adverse reaction.	2006	P		"Source is WG discussion and cross-group harmonization.
"	AMB 1.13, 1.15														
2011.AM.049	AM 06.01	Manage patient history	The system shall provide the ability to capture, store, display, and manage patient history. 	2006	P	Examples include past medical/surgical problems, diagnoses, procedures, family history and social history.	DC.1.2	AMB 2.04														
2011.AM.050	AM 06.02	Manage patient history	The system shall provide the ability to capture structured data in the patient history.  	2007	P	"This function demonstrates the ability of a system to capture structured data but does not define the required elements of the patient history that shall be structured.  Discrete data elements allow for searching and/or reporting by the EHR, and for this criterion the data could be free text or codified. Future functions would define the required patient history elements that shall be captured discretely as structured data, and where appropriate codified terminologies will be used.
"	DC.1.2	AMB 1.11, 2.05														
2011.AM.051	AM 06.03	Manage patient history	The system shall provide the ability to update a patient history by modifying, adding or removing items from the patient history as appropriate.	2008	P	Requirement not predicated on the capture of structured data.	DC.1.2	AMB 2.04														
2011.AM.052	AM 06.04	Manage patient history	The system shall provide the ability to capture patient history as both a presence and absence of conditions, i.e., the specification of the absence of a personal or family history of a specific diagnosis, procedure or health risk behavior.	2007	P	Requirement not predicated on the capture of structured data.	DC.1.2	AMB 1.11														
2011.AM.053	AM 06.05	Manage patient history	The system shall provide the ability to capture history collected from outside sources.	2008	P	"This could include data from a personal health record, online patient histories, and information from pharmacy benefit management organizations.
Please see interoperability criteria (IO-AM 11.xx) for specific requirements for electronic importation."	DC.1.2	AMB 2.03														
2011.AM.054	AM 06.06	Manage patient history	The system shall provide the ability to capture patient history in a standard coded form.	2008	P	"Not all data elements may currently be represented in existing standard coding schemes.

An example would be diagnostic and procedural history using ICD-9, CPT, or SNOMED codes."	DC.1.2	AMB 2.05														
2011.AM.055	AM 07.01	Summarize health record	The system shall provide the ability to create and display a summary list for each patient that includes, at a minimum, the active problem/diagnosis list, current medication list, medication allergies and adverse reactions	2006	P	Health record summary is at the patient level as opposed to at the level of an individual visit or episode of care.	DC.1.1.4	Does not appear in test script; see Certification Handbook 														
2011.AM.056	AM 08.01	Manage clinical documents and notes	The system shall provide the ability to create clinical documentation or notes (henceforth "documentation").	2006	P		"DC.1.9.1
"	AMB 4.19, 4.62														
2011.AM.057	AM 08.02	Manage clinical documents and notes	The system shall provide the ability to display documentation.	2006	P		DC.1.9.1	AMB 4.19, 4.62														
2011.AM.058	AM 08.03	Manage clinical documents and notes	The system shall provide the ability to save a note in progress prior to finalizing the note.	2006	P	This item is likely to be removed in favor of PC 04.08.	DC.1.9.1	AMB 4.33														
2011.AM.059	AM 08.04	Manage clinical documents and notes	The system shall provide the ability to finalize a note, i.e., change the status of the note from in progress to complete so that any subsequent changes are recorded as such.	2006	P	"Medico-Legal.  User rights are determined by role-based access defined in security.  Only authorized users can complete, change or finalize a clinical note. The words, ""sign,"" ""signature,"" ""cosign,"" and ""cosignature"" are intended here to convey actions, rather than referring to digital signature standards.  It is recognized that an electronic signature is useful here.  However, a widely accepted standard for electronic signatures does not exist.  Thus, the criteria calls for documenting the actions of authenticated users at a minimum.  In the future, when appropriate digital signature standards are available, certification criteria may be introduced using such standards.
"	DC.1.9.1	AMB 1.56, 4.38														
2011.AM.060	AM 08.05	Manage clinical documents and notes	The system shall provide the ability to record the identity of the user finalizing each note and the date and time of finalization.	2006	P	"Medico-Legal.  User rights are determined by role-based access defined in security.  Only authorized users can complete, change or finalize a clinical note. The words, ""sign,"" ""signature,"" ""cosign,"" and ""cosignature"" are intended here to convey actions, rather than referring to digital signature standards.  It is recognized that an electronic signature is useful here.  However, a widely accepted standard for electronic signatures does not exist.  Thus, the criteria calls for documenting the actions of authenticated users at a minimum.  In the future, when appropriate digital signature standards are available, certification criteria may be introduced using such standards.
"	DC.1.9.1	AMB 1.52, 1.56														
2011.AM.061	AM 08.06	Manage clinical documents and notes	The system shall provide the ability to cosign a note and record the date and time of signature.	2007	P	"The words, ""sign,"" ""signature,"" ""cosign,"" and ""cosignature"" are intended here to convey actions, rather than referring to digital signature standards.  It is recognized that an electronic signature is useful here.  However, a widely accepted standard for electronic signatures does not exist.  Thus, the criteria calls for documenting the actions of authenticated users at a minimum.  In the future, when appropriate digital signature standards are available, certification criteria may be introduced using such standards.
ASTM has developed ""2003 Updated ASTM Standard Guide for Electronic Authentication of Health Care Information"" to address some of these issues.
"	Source is public comments and WG discussion.	AMB 1.56														
2011.AM.062	AM 08.07	Manage clinical documents and notes	The system shall provide the ability to addend and/or correct notes that have been finalized.	2006	P	"The words, ""sign,"" ""signature,"" ""cosign,"" and ""cosignature"" are intended here to convey actions, rather than referring to digital signature standards.  It is recognized that an electronic signature is useful here.  However, a widely accepted standard for electronic signatures does not exist.  Thus, the criteria calls for documenting the actions of authenticated users at a minimum.  In the future, when appropriate digital signature standards are available, certification criteria may be introduced using such standards.
"	DC.1.9.1	AMB 4.48														
2011.AM.063	AM 08.08	Manage clinical documents and notes	The system shall provide the ability to identify the full content of a modified note, both the original content and the content resulting after any changes, corrections, clarifications, addenda, etc. to a finalized note.	2009	N	"This may be in the GUI or in the audit trail. It is adequate to be able to access pre- and post-modification versions of a note; i.e. it is not necessary for the system to have a single display that shows what modifications were made. The intent of this criterion is to specify the information stored after finalization of a note; other criteria specify requirements prior to finalization.
"	Source is public comments and WG discussion.	AMB 4.49														
2011.AM.064	AM 08.09	Manage clinical documents and notes	The system shall provide the ability to record and display the identity of the user who addended or corrected a note and the date and time of the change.	2008	P	"Necessary for medico-legal purposes.  The words, ""sign,"" ""signature,"" ""cosign,"" and ""cosignature"" are intended here to convey actions, rather than referring to digital signature standards.  It is recognized that an electronic signature is useful here.  However, a widely accepted standard for electronic signatures does not exist.  Thus, the criteria calls for documenting the actions of authenticated users at a minimum.  In the future, when appropriate digital signature standards are available, certification criteria may be introduced using such standards.
"	DC.1.9.1	AMB 4.48														
2011.AM.065	AM 08.10	Manage clinical documents and notes	The system shall provide the ability to enter free text notes.	2006	P		DC.1.9.1	Does not appear in test script; see Certification Handbook 														
2011.AM.066	AM 08.11	Manage clinical documents and notes	The system shall provide the ability to filter, search or order notes by the provider who finalized the note.	2007	P		DC.1.9.1	AMB 4.68														
2011.AM.067	AM 08.12	Manage clinical documents and notes	The system shall provide the ability to filter, search or order notes by associated diagnosis within a patient record.	2007	P	This is intended to be the coded diagnosis and not free text in the body of a note.	DC.1.9.1	AMB 4.22														
2011.AM.068	AM 08.13	Manage clinical documents and notes	The system shall provide the ability to capture patient vital signs, including blood pressure, heart rate, respiratory rate, height, and weight, as discrete data.	2006	P	 It is understood that vendors should support conversion to numeric values that can be graphed.  Coding in ICD-9 CM, ICD-10 CM,  SNOMED, UMLS, etc., would enhance interoperability and for public health surveillance or clinical research.	DC.1.9.1	AMB 1.18														
2011.AM.069	AM 08.14	Manage clinical documents and notes	The system shall provide the ability to capture and display temperature, weight and height in both metric and English units	2009	N	The criterion requires that the system be able to display both; it does not require that both are able to display on the same screen at the same time.	Source is public comments and WG discussion.	AMB 1.18, 1.61														
2011.AM.070	AM 08.15	Manage clinical documents and notes	The system shall be capable of indicating to the user when a vital sign measurement falls outside a preset normal range as set by authorized users. 	2009	N	"Normal range shall be set at system level as opposed to individual patient level.

At a minimum, this must be possible for the following vital signs:  systolic and diastolic blood pressures, heart rate, temperature and respiratory rate.
"	Source is public comments and WG discussion.	AMB 1.18														
2011.AM.071	AM 08.16	Manage clinical documents and notes	The system shall provide the ability to capture other clinical data elements as discrete data. 	2008	P	For example, quantitative tobacco consumption, peak expiratory flow rate, size of lesions, severity of pain, etc.	DC.1.9.1	AMB 4.12, 4.13														
2011.AM.072	AM 08.19	Manage clinical documents and notes	The system shall provide templates for inputting data in a structured format as part of clinical documentation.	2008	P	"Templates may include any patient encounter note documentation tool that provide a pre-set collection of clinical findings or fields, including macros driven by speech recognition technology, branching logic. 

This list is not necessarily all inclusive of all the technology that may arrive in future.
"	DC.1.9.1	AMB 1.18														
2011.AM.073	AM 08.20	Manage clinical documents and notes	The system shall provide the ability to customize clinical templates.	2006	P	Customization at the level of clinical content is satisfactory. 	DC.1.9.1	AMB ADM.06														
2011.AM.074	AM 08.21	Manage clinical documents and notes	The system shall be capable of recording comments by the patient or the patient's representative regarding the accuracy or veracity of information in the patient record (henceforth 'patient annotations').	2008	P	For the current year it is sufficient for these to be recorded as either free-text notes or scanned paper documents.  It is not required that the system facilitate direct entry into the system by the patient or patient's representative.	Source is public comments and WG discussion.	AMB 2.11														
2011.AM.075	AM 08.22	Manage clinical documents and notes	The system shall display patient annotations in a manner which distinguishes them from other content in the system.	2008	P	"A patient annotation in free-text or scanned-document form as described in AM 08.18, when displayed, should indicate that it comes from a patient.  This could be a text label on the screen or part of the free-text note itself.  It is not necessary to make patient annotations visible from any and all sections of the patient record. 
"	Source is public comments and WG discussion.	AMB 2.12														
2011.AM.076	AM 08.24	Manage clinical documents and notes	The system shall provide the ability to graph height and weight over time.	2006	P		Source is public comments and WG discussion.	AMB 1.21.AM, 1.21.CV														
2011.AM.077	AM 08.25	Manage clinical documents and notes	The system shall provide the ability to calculate and display body mass index (BMI).	2009	N		"Source is public comments and WG discussion.
"	AMB 1.19														
2011.AM.078	AM 09.01	Capture external clinical documents	The system shall provide the ability to capture and store external documents.	2008	P	"Scanned documents are sufficient; structured data will be expected in the future. This covers all types of documents received by the practice that would typically be incorporated into a medical record, including but not limited to faxes, referral authorizations, consultant reports, and patient correspondence of a clinical nature.
"	DC.1.1.3.1	AMB 4.43														
2011.AM.079	AM 09.03	Capture external clinical documents	The system shall provide the ability to save scanned documents as images.	2006	P		DC.1.1.3.1	AMB 1.32														
2011.AM.080	AM 09.04	Capture external clinical documents	The system shall provide the ability to receive, store in the patient's record, and display text-based outside reports.	2008	P	This could be either from an outside system or from scanning with optical character recognition.	DC.1.1.3.1	AMB 4.43														
2011.AM.081	AM 09.05.01	Capture external clinical documents	"The system shall provide the ability to index scanned documents and associate a date and document type to the document.
"	2009	N	"These dates may include the date the original document was produced, received and/or scanned. 

Indexing implies associating a scanned document with an individual patient record. "	Source is public comments and WG discussion.	AMB 1.33														
2011.AM.082	AM 09.05.02	Capture external clinical documents	"The system shall provide the ability to retrieve indexed scanned documents based on document type and date.
"	2009	N	Document types might include lab notes, progress notes, etc. 	Source is public comments and WG discussion.	AMB 1.34														
2011.AM.083	AM 09.06	Capture external clinical documents	The system shall provide access to clinical images.  They must be accessible from within the patient's chart and labeled and date-time stamped or included in a patient encounter document.  These images may be stored within the system or be provided through direct linkage to external sources.	2008	P	"These images may include but are not limited to radiographic, digital or graphical images.  Eventually the goal would be to allow linkage to outside systems such as a hospital PAC system.

The date/time stamp may  be the date/time of image creation or acquisition, the date/time of image importation/incorporation into the system, date/time of the clinical encounter with which the image is associated, or manually entered by the user.
"	DC.1.1.3.1	AMB 4.45														
2011.AM.084	AM 09.07	Capture external clinical documents	The system shall provide the ability to accept, store in the patient's record, and display clinical results received through an interface with an external source.	2008	P	"This is limited to clinical data received through interfaces as defined in CCHIT interoperability criteria.
It is acceptable if certain data received through an interface, if not relevant to the end user, are not displayed in the application.

"	"DC.1.1.3.1
"	AMB 2.52, 4.15, 4.16, 4.17														
2011.AM.085	FN 14.01	Generate and record patient-specific instructions	The system shall provide the ability to produce patient instructions and patient educational materials which may reside within the system or be provided through links to external source.	2009	N	An example would be a vaccine information statement.	"Source is WG discussion and cross-group harmonization.
"	AMB 2.08														
2011.AM.086	AM 10.03	Generate and record patient-specific instructions	The system shall have the ability to provide access to patient-specific test and procedure instructions that can be modified by the physician or health organization; these instructions are to be given to the patient.  These instructions may reside within the system or be provided through links to external sources.	2009	N	It is not required that the modified document be stored in the patient record.	Source is public comments and WG discussion.	AMB 2.10														
2011.AM.087	AM 10.04	Generate and record patient-specific instructions	The system shall have the ability to provide access to patient-specific test and procedure instructions that can be modified by the physician or health organization; these instructions are to be given to the filler of the order.  These instructions may reside within the system or be provided through links to external sources.	2009	N	It is not required that the modified document be stored in the patient record.	Source is public comments and WG discussion.	AMB 2.15														
2011.AM.088	AM 10.05	Generate and record patient-specific instructions	The system shall provide the ability to record that patient specific instructions or educational material were provided to the patient.	2006	P	This does not require automatic documentation.	DC.1.10	Does not appear in test script; see Certification Handbook 														
2011.AM.089	AM 10.06	Generate and record patient-specific instructions	The system shall provide the ability to create patient specific instructions.	2006	P		DC.1.10	Does not appear in test script; see Certification Handbook 														
2011.AM.090	FN 17.01	Generate and record patient-specific instructions	The system shall provide the ability to access and review medication information (such as patient education material or drug monograph).  This may reside within the system or be provided through links to external sources.	2006	P		Source is WG discussion and cross-group harmonization.	AMB 1.47														
2011.AM.091	AM 11.01	Order medication	The system shall provide the ability to create prescription or other medication orders with sufficient information for correct filling and dispensing by a pharmacy.	2008	P	The term pharmacy here refers to all entities which fill prescriptions and dispense medications including but not limited to retail pharmacies, specialty,  and mail order pharmacies.	"DC.1.7.1
"	AMB 1.64, 4.65														
2011.AM.092	AM 11.02	Order medication	The system shall provide the ability to record user and date stamp for prescription related events, such as initial creation, renewal, refills, discontinuation, and cancellation of a prescription.	2006	P		DC.1.7.1	AMB 1.64, 4.64														
2011.AM.093	AM 11.03	Order medication	The system shall provide the ability to capture the identity of the prescribing provider for all medication orders.	2008	P		DC.1.7.1	AMB 1.64														
2011.AM.094	AM 11.04	Order medication	The system shall provide the ability to capture common content for prescription details including strength, sig, quantity, and refills to be selected by the ordering clinician.	2006	P	We encourage the development of standard national abbreviations and that only approved abbreviations should be supported.	DC.1.7.1	AMB 1.64, 4.62														
2011.AM.095	AM 11.05	Order medication	The system shall provide the ability to receive and display information received through electronic prescription eligibility checking.	2008	P	Will be required by e-prescribing. This criterion should maintain a record of whether the patient was eligible for coverage in the system.     	Source is public comments and WG discussion.	SEC 6.22														
2011.AM.096	AM 11.07	Order medication	The system shall provide the ability to reorder a prior prescription without re-entering previous data (e.g. administration schedule, quantity).	2006	P		DC.1.7.1	AMB 4.27														
2011.AM.097	AM 11.08	Order medication	The system shall provide the ability to print and electronically fax prescriptions.	2008	P		DC.1.7.1	AMB 1.45, 1.65														
2011.AM.098	AM 11.09	Order medication	The system shall provide the ability to re-print and re-fax prescriptions. 	2008	P	This allows a prescription that did not come out of the printer, or a fax that did not go through, to be resent/reprinted without entering another prescription. 	Source is public comments and WG discussion.	AMB 1.46, 1.66														
2011.AM.099	AM 11.11	Order medication	The system shall provide the ability to display a dose calculator for patient-specific dosing based on weight.	2008	P	"The intent is to allow input of dose-per-weight and patient weight and calculate the corresponding dose. The dose-per-weight might be directly inputted by a user at the time the dose calculation is to occur, or might have been inputted previously as the default for a particular medication. The output may be in terms that take into account a particular strength and dosage form of a medication (e.g. ""5ml or ""2 tablets"") OR may be simply in terms of the amount of the active drug component (e.g. ""250""). It is not required that the dose calculator automatically populate fields in the prescription itself.
"	DC.1.7.1	AMB 1.63														
2011.AM.100	AM 11.12	Order medication	The system shall provide the ability to identify medication samples dispensed, including lot number and expiration date.	2007	P	Lot numbers and expiration date could be entered in free text or encoded.	DC.1.7.1	AMB 4.88														
2011.AM.101	AM 11.13	Order medication	The system shall provide the ability to prescribe fractional amounts of medication (e.g. 1/2 tsp, 1/2 tablet).	2008	P		DC.1.7.1	AMB 1.49														
2011.AM.102	AM 11.14	Order medication	The system shall provide the ability to alert the user if the drug interaction information is outdated.	2008	P	"The drug database should have  an ""expiration date"" based on the frequency of their updates such that when that date has passed, the user is alerted.

This criterion applies if the system requires user action to provide database updates as opposed to providing them automatically.  
"	Source is public comments and WG discussion.	SEC 6.23														
2011.AM.103	AM 11.15	Order medication	The system shall provide the ability to allow the user to configure prescriptions to incorporate fixed text according to the user's specifications.	2006	P	"This refers to the ""written"" output and language on the printed prescription such as practice address, practice telephone number, legally mandated text.  For instance, users should be able to modify the format/content of printed prescriptions to comply with state Board of Pharmacy requirements.  
"	Source is public comments and WG discussion.	AMB 1.48, 1.49														
2011.AM.104	FN 09.04	General Ordering Requirements	The system shall provide the ability to capture and maintain, as discrete data, a diagnosis/problem code or description associated with an order of any type (including prescriptions and medications ordered for administration).	2009	N		Source is WG discussion and cross-group harmonization.	AMB 1.64, 4.35														
