Unique ID	Label	Requirement Statement	Solution Scope	Solution Approach
	HL7 DC 1.1.3.1.08	The solution should provide the ability to receive, store and display other forms of clinical results (such as wave files of EKG tracings) received from an external source.	Unknown	Unknown
	HL7 DC 1.1.3.1.09	The solution should provide the ability to receive, store and present medication details from an external source.	Unknown	Unknown
	HL7 DC 1.1.3.1.10	The solution should provide the ability to receive, store and present structured text-based reports received from an external source.	Unknown	Unknown
	HL7 DC 1.1.3.1.11	The solution should provide the ability to receive, store and present standards-based structured, codified data received from an external source.	Unknown	Unknown
	DC 1.1.3.2	Capture Patient-Originated Data		
	HL7 DC 1.1.3.2.01	The solution should capture and explicitly label patient-originated data.	Unknown	Unknown
	HL7 DC 1.1.3.2.02	If the solution provides the ability for direct entry by the patient, then the solution should explicitly label the data as patient entered.	Unknown	Unknown
	HL7 DC 1.1.3.2.03	The solution should capture and label the source of clinical data provided on behalf of the patient.	Unknown	Unknown
	HL7 DC 1.1.3.2.04	The solution should present patient-originated data for use by care providers.	Unknown	Unknown
	HL7 DC 1.1.3.2.05	The solution should provide the ability for a provider to verify the accuracy of patient-originated data for inclusion in the patient record.	Unknown	Unknown
	HL7 DC 1.1.3.2.06	The solution should provide the ability to view or comment, but not alter, patient-originated data.	Unknown	Unknown
	DC 1.1.3.3	Capture Patient Health Data Derived from Administrative and Financial Data and Documentation		
	HL7 DC 1.1.3.3.01	The solution should provide the ability to capture and label patient health data derived from administrative or financial data.	Unknown	Unknown
	HL7 DC 1.1.3.3.02	The solution should provide the ability to capture and link data about the source of patient health data derived from administrative and financial data with that patient data.	Unknown	Unknown
	HL7 DC 1.1.3.3.03	"The solution should provide the ability to present labeled patient health information derived from administrative or financial data and the source of that data for use by
authorized users."	Unknown	Unknown
	HL7 DC 1.1.3.3.04	The solution should provide the ability to view or comment on patient health information derived from administrative or financial data.	Unknown	Unknown
	HL7 DC 1.1.3.3.05	The solution should provide the ability to request correction of the administrative or financial data.	Unknown	Unknown
	DC 1.1.4	Produce a Summary Record of Care		
	HL7 DC 1.1.4.01	The solution should present summarized views and reports of the patient’s comprehensive EMR.	Unknown	Unknown
5643	HL7 DC 1.1.4.02	The solution should include at least the following in the summary: problem list, medication list, allergy and adverse reaction list.	Unknown	Unknown
	HL7 DC 1.1.4.03	The solution should conform to function S.3.3.6 (Health Service Reports at the Conclusion of an Episode of Care).	Unknown	Unknown
	HL7 DC 1.1.4.04	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.1.4.05	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.1.5	Present Ad Hoc Views of the Health Record		
	HL7 DC 1.1.5.01	The solution should provide the ability to create views that prohibit patients from accessing certain information according to organizational policy, scope of practice, and jurisdictional law.	Unknown	Unknown
	HL7 DC 1.1.5.02	The solution should provide the ability to create customized views of summarized information based on sort and filter controls for date or date range, problem, or other clinical parameters.	Unknown	Unknown
	HL7 DC 1.1.5.03	The solution should provide the ability to access summarized information through customized views based on prioritization of chronology, problem, or other pertinent clinical parameters.	Unknown	Unknown
	HL7 DC 1.1.5.04	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.1.5.05	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.2	Patient History		
	HL7 DC 1.2.01	The solution should provide the ability to capture, update and present current patient history including pertinent positive and negative elements.	Unknown	Unknown
	HL7 DC 1.2.02	The solution should provide the ability to capture and present previous external patient histories	Unknown	Unknown
	HL7 DC 1.2.03	The solution should provide the ability to capture the relationship between patient and others.	Unknown	Unknown
	HL7 DC 1.2.04	The solution should capture the complaint, presenting problem or other reason(s) for the visit or encounter.	Unknown	Unknown
	HL7 DC 1.2.05	The solution should capture the reason for visit/encounter from the patient's perspective.	Unknown	Unknown
	HL7 DC 1.2.06	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.2.07	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.3	Preferences, Directives, Consents, and Authorizations		
	HL7 DC 1.3.0.01	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.3.0.02	The solution should to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.3.1	Manage Patient and Family Preferences		
	HL7 DC 1.3.1.01	The solution should provide the ability to capture, present, maintain and make available for clinical decisions patient preferences such as language, religion, spiritual practices and culture.	Unknown	Unknown
	HL7 DC 1.3.1.02	The solution should provide the ability to capture, present, maintain and make available for clinical decisions family preferences such as language, religion, spiritual practices and culture.	Unknown	Unknown
	HL7 DC 1.3.1.03	The solution should conform to function DC.2.1.4 (Support for Patient and Family Preferences), and incorporate patient and family preferences into decision support solutions.	Unknown	Unknown
	DC 1.3.2	Manage Patient Advance Directives		
	HL7 DC 1.3.2.01	The solution should provide the ability to indicate that advance directives exist for the patient.	Unknown	Unknown
	HL7 DC 1.3.2.02	The solution should provide the ability to indicate the type of advance directives completed for the patient such as living will, durable power of attorney, preferred interventions for known conditions, or the existence of a "Do Not Resuscitate order”.	Unknown	Unknown
	HL7 DC 1.3.2.03	The solution should provide the ability to capture, present, maintain and make available for clinical decisions patient advance directives documents and “Do Not Resuscitate” orders.	Unknown	Unknown
	HL7 DC 1.3.2.04	The solution should conform to function DC.1.1.3.1 (Capture Data and Documentation from External Clinical Sources) and capture scanned patient advance directive documents and “Do Not Resuscitate” orders.	Unknown	Unknown
	HL7 DC 1.3.2.05	The solution should provide the ability to indicate when advanced directives were last reviewed.	Unknown	Unknown
	HL7 DC 1.3.2.06	The solution should provide the ability to indicate the name and relationship of the party completing the advance directive for the patient.	Unknown	Unknown
	HL7 DC 1.3.2.07	The solution should time and date stamp advance directives.	Unknown	Unknown
	HL7 DC 1.3.2.08	The solution should provide the ability to document the location and or source of any legal documentation regarding advance directives.	Unknown	Unknown
	HL7 DC 1.3.2.09	The solution should conform to function DC.2.1.4 (Support for Patient and Family Preferences).	Unknown	Unknown
	DC 1.3.3	Manage Consents & Authorizations		
	HL7 DC 1.3.3.01	The solution should provide the ability to indicate that a patient has completed applicable consents and authorizations.	Unknown	Unknown
	HL7 DC 1.3.3.02	The solution should provide the ability to indicate that a patient has withdrawn applicable consents and authorizations.	Unknown	Unknown
	HL7 DC 1.3.3.03	The solution should conform to function DC.1.1.3.1 (Capture Data and Documentation from External Clinical Sources) and capture scanned paper consent and authorization documents.	Unknown	Unknown
	HL7 DC 1.3.3.04	The solution should provide the ability to view and complete consent and authorization forms on-line.	Unknown	Unknown
	HL7 DC 1.3.3.05	The solution should provide the ability to generate printable consent and authorization forms.	Unknown	Unknown
	HL7 DC 1.3.3.06	The solution should display the authorizations associated with a specific clinical activity, such as treatment or surgery, along with that event in the patient's electronic chart.	Unknown	Unknown
	HL7 DC 1.3.3.07	The solution should provide the ability to display consents and authorizations chronologically.	Unknown	Unknown
	HL7 DC 1.3.3.08	The solution should provide the ability to document an assent for patients legally unable to consent.	Unknown	Unknown
	HL7 DC 1.3.3.09	The solution should provide the ability to document the source of each consent, such as the patient or the patient’s personal representative if the patient is legally unable to provide it.	Unknown	Unknown
	HL7 DC 1.3.3.10	The solution should provide the ability to document the patient’s personal representative’s level of authority to make decisions on behalf of the patient.	Unknown	Unknown
	DC 1.4	Summary Lists		
	HL7 DC 1.4.0.01	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.4.0.02	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.4.1	Manage Allergy, Intolerance, and Adverse Reaction List		
	HL7 DC 1.4.1.01	The solution should provide the ability to capture true allergy, intolerance, and adverse reaction to drug, dietary or environmental triggers as unique, discrete entries.	Unknown	Unknown
	HL7 DC 1.4.1.02	The solution should provide the ability to capture the reason for entry of the allergy, intolerance or adverse reaction.	Unknown	Unknown
	HL7 DC 1.4.1.03	The solution should provide the ability to capture the reaction type.	Unknown	Unknown
	HL7 DC 1.4.1.04	The solution should provide the ability to capture the severity of a reaction.	Unknown	Unknown
	HL7 DC 1.4.1.05	The solution should provide the ability to capture a report of No Known Allergies (NKA) for the patient.	Unknown	Unknown
	HL7 DC 1.4.1.06	The solution should provide the ability to capture a report of No Known Drug Allergies (NKDA) for the patient.	Unknown	Unknown
	HL7 DC 1.4.1.07	The solution should provide the ability to capture the source of allergy, intolerance, and adverse reaction information.	Unknown	Unknown
	HL7 DC 1.4.1.08	The solution should provide the ability to deactivate an item on the list.	Unknown	Unknown
	HL7 DC 1.4.1.09	The solution should provide the ability to capture the reason for deactivation of an item on the list.	Unknown	Unknown
	HL7 DC 1.4.1.10	The solution should present allergies, intolerances and adverse reactions that have been deactivated.	Unknown	Unknown
	HL7 DC 1.4.1.11	The solution should provide the ability to display user defined sort order of list.	Unknown	Unknown
	HL7 DC 1.4.1.12	The solution should provide the ability to indicate that the list of medications and other agents has been reviewed.	Unknown	Unknown
	HL7 DC 1.4.1.13	The solution should provide the ability to capture and display the date on which allergy information was entered.	Unknown	Unknown
	HL7 DC 1.4.1.14	The solution should provide the ability to capture and display the approximate date of the allergy occurrence.	Unknown	Unknown
	DC 1.4.2	Manage Medication List		
	HL7 DC 1.4.2.01	The solution should provide the ability to capture patient specific medication lists.	Unknown	Unknown
	HL7 DC 1.4.2.02	The solution should display and report patient-specific medication lists.	Unknown	Unknown
	HL7 DC 1.4.2.03	The solution should provide the ability to capture the details of the medication such as ordering date, dose, route, and SIG (description of the prescription, such as the quantity) when known.	Unknown	Unknown
	HL7 DC 1.4.2.04	The solution should provide the ability to capture other dates associated with medications such as start and end dates.	Unknown	Unknown
	HL7 DC 1.4.2.05	The solution should provide the ability to capture medications not reported on existing medication lists or medication histories.	Unknown	Unknown
	HL7 DC 1.4.2.06	The solution should provide the ability to capture nonprescription medications including over the counter and complementary medications such as vitamins, herbs and supplements.	Unknown	Unknown
	HL7 DC 1.4.2.07	The solution should present the current medication lists associated with a patient.	Unknown	Unknown
	HL7 DC 1.4.2.08	The solution should present the medication history associated with a patient.	Unknown	Unknown
	HL7 DC 1.4.2.09	The solution should present the medication, prescriber, and medication ordering dates when known.	Unknown	Unknown
	HL7 DC 1.4.2.10	The solution should provide the ability to mark a medication as erroneously captured and excluded from the presentation of current medications.	Unknown	Unknown
	HL7 DC 1.4.2.11	The solution should provide the ability to print a current medication list for patient use.	Unknown	Unknown
	HL7 DC 1.4.2.12	The solution should provide the ability to capture information regarding the filling of prescriptions (dispensation of medications by pharmacies or other providers).	Unknown	Unknown
	DC 1.4.3	Manage Problem List		
	HL7 DC 1.4.3.01	The solution should capture, display and report all active problems associated with a patient.	Unknown	Unknown
	HL7 DC 1.4.3.02	The solution should capture, display and report a history of all problems associated with a patient.	Unknown	Unknown
	HL7 DC 1.4.3.03	The solution should provide the ability to capture onset date of problem.	Unknown	Unknown
	HL7 DC 1.4.3.04	The solution should provide the ability to capture the chronicity (chronic, acute/self-limiting, etc.) of a problem.	Unknown	Unknown
	HL7 DC 1.4.3.05	The solution should provide the ability to capture the source, date and time of all updates to the problem list.	Unknown	Unknown
	HL7 DC 1.4.3.06	The solution should provide the ability to deactivate a problem.	Unknown	Unknown
	HL7 DC 1.4.3.07	The solution should provide the ability to re-activate a previously deactivated problem.	Unknown	Unknown
	HL7 DC 1.4.3.08	The solution should provide the ability to display inactive and/or resolved problems.	Unknown	Unknown
	HL7 DC 1.4.3.09	The solution should provide the ability to manually order/sort the problem list.	Unknown	Unknown
	HL7 DC 1.4.3.10	The solution should provide the ability to associate encounters, orders, medications, notes with one or more problems.	Unknown	Unknown
	DC 1.4.4	Manage Immunization List		
	HL7 DC 1.4.4.01	The solution should capture, display and report all immunizations associated with a patient.	Unknown	Unknown
	HL7 DC 1.4.4.02	The solution should record as discrete data elements data associated with any immunization given including date, type, lot number and manufacturer.	Unknown	Unknown
	HL7 DC 1.4.4.03	The solution should prepare a report of a patient ‘s immunization history upon request for appropriate authorities such as Public Health organization.	Unknown	Unknown
	DC 1.5	Manage Assessments		
	HL7 DC 1.5.01	The solution should provide the ability to create assessments.	Unknown	Unknown
	HL7 DC 1.5.02	The solution should provide the ability to use standardized assessments where they exist.	Unknown	Unknown
	HL7 DC 1.5.03	The solution should provide the ability to document using standard assessments germane to the age, gender, developmental state, and health condition as appropriate to the EMR user’s scope of practice.	Unknown	Unknown
	HL7 DC 1.5.04	The solution should provide the ability to capture data relevant to standard assessment.	Unknown	Unknown
	HL7 DC 1.5.05	The solution should provide the ability to capture additional data to augment the standard assessments relative to variances in medical conditions.	Unknown	Unknown
5644	HL7 DC 1.5.06	The solution should provide the ability to link data from a standard assessment to a problem list.	Unknown	Unknown
	HL7 DC 1.5.07	The solution should provide the ability to link data from a standard assessment to an individual care plan.	Unknown	Unknown
	HL7 DC 1.5.08	The solution should provide the ability to link data from external sources, laboratory results, and radiographic results to the standard assessment.	Unknown	Unknown
	HL7 DC 1.5.09	The solution should provide the ability to compare documented data against standardized curves and display trends.	Unknown	Unknown
	HL7 DC 1.5.10	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.5.11	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.6	Care Plans, Treatment Plans, Guidelines, and Protocols		
	DC 1.6.1	Present Guidelines and Protocols for Planning Care		
	HL7 DC 1.6.1.01	The solution should provide the ability to present current guidelines and protocols to clinicians who are creating plans for treatment and care.	Unknown	Unknown
	HL7 DC 1.6.1.02	The solution should provide the ability to search for a guideline or protocol based on appropriate criteria (such as problem).	Unknown	Unknown
	HL7 DC 1.6.1.03	The solution should provide the ability to present previously used guidelines and protocols for historical or legal purposes.	Unknown	Unknown
	HL7 DC 1.6.1.04	The solution should conform to function DC.1.8.6 (Manage Documentation of Clinician Response to Decision Support Prompts).	Unknown	Unknown
	HL7 DC 1.6.1.05	The solution should conform to function DC.2.2.1.2 (Support for Context-Sensitive Care Plans, Guidelines, Protocols).	Unknown	Unknown
	HL7 DC 1.6.1.06	The solution should should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.6.2	Manage Patient-Specific Care & Treatment Plans		
	HL7 DC 1.6.2.01	The solution should provide the ability to capture patient specific plans of care and treatment.	Unknown	Unknown
	HL7 DC 1.6.2.02	The solution should conform to DC.1.6.1 (Present Guidelines and Protocols for Planning Care) and provide the ability to use locally or non-locally developed templates, guidelines, and protocols for the creation of patient-specific plans of care and treatment.	Unknown	Unknown
	HL7 DC 1.6.2.03	The solution should provide the ability to use previously developed care plans as a basis for the creation of new plans of care and treatment.	Unknown	Unknown
	HL7 DC 1.6.2.04	"The solution should provide the ability to track updates to a patient’s plan of care and treatment including authors, creation date, version history, references, local sources
and non-local sources in accordance with scope of practice, organizational policy and jurisdictional law."	Unknown	Unknown
	HL7 DC 1.6.2.05	The solution should provide the ability to coordinate order sets with care plans.	Unknown	Unknown
	HL7 DC 1.6.2.06	The solution should provide the ability to derive order sets from care plans.	Unknown	Unknown
	HL7 DC 1.6.2.07	The solution should provide the ability to derive care plans from order sets.	Unknown	Unknown
	HL7 DC 1.6.2.08	The solution should provide the ability to transfer plans of care and treatment to other care providers.	Unknown	Unknown
	HL7 DC 1.6.2.09	The solution should conform to function DC.3.1.1 (Clinical Task Assignment and Routing) and incorporate care plan items in the tasks assigned and routed.	Unknown	Unknown
	HL7 DC 1.6.2.10	The solution should conform to function DC.3.1.2 (Clinical Task Linking) and incorporate care plan items in the tasks linked.	Unknown	Unknown
	HL7 DC 1.6.2.11	The solution should conform to function DC.3.1.3 (Clinical Task Tracking) and incorporate care plan items in the tasks tracked.	Unknown	Unknown
	HL7 DC 1.6.2.12	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.7	Orders & Referrals		
	HL7 DC 1.7.0.01	The solution should to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.7.1	Manage Medication Orders		
	HL7 DC 1.7.1.01	The solution should provide the ability to create prescription or other medication orders with the details adequate for correct filling and administration captured as discrete data.	Unknown	Unknown
3193	HL7 DC 1.7.1.02	The solution should capture user and date stamp for all prescription related events.	Unknown	Unknown
	HL7 DC 1.7.1.03	The solution should conform to function DC.1.4.2 (Manage Medication List) and update the appropriate medication list with the prescribed medications (in case of multiple medication lists).	Unknown	Unknown
	HL7 DC 1.7.1.04	The solution should provide a list of medications to search, including both generic and brand name.	Unknown	Unknown
	HL7 DC 1.7.1.05	The solution should provide the ability to maintain a discrete list of orderable medications.	Unknown	Unknown
	HL7 DC 1.7.1.06	The solution should conform to function DC.1.7.2.1 (Manage Non-Medication Patient Care Orders) and provide the ability to order supplies associated with medication orders in accordance with scope of practice, organizational policy or jurisdictional law.	Unknown	Unknown
	HL7 DC 1.7.1.07	The solution should make common content available for prescription details to be selected by the ordering clinician.	Unknown	Unknown
	HL7 DC 1.7.1.08	The solution should provide the ability for the ordering clinician to create prescription details as needed.	Unknown	Unknown
	HL7 DC 1.7.1.09	The solution should make available common patient medication instruction content to be selected by the ordering clinician.	Unknown	Unknown
	HL7 DC 1.7.1.10	The solution should provide the ability to include prescriptions in order sets.	Unknown	Unknown
	HL7 DC 1.7.1.11	"The solution should provide a list of frequently-ordered medications by diagnosis by provider which could include the full details of the medication, including SIG, quantity,
refills, DAW, etc."	Unknown	Unknown
	HL7 DC 1.7.1.12	The solution should provide the ability to select drugs by therapeutic class and/or indication.	Unknown	Unknown
	HL7 DC 1.7.1.13	The solution should conform to function S.3.3.2 (Eligibility Verification and Determination of Coverage) and display the results of electronic prescription eligibility and health plan/payer formulary checking.	Unknown	Unknown
3194	HL7 DC 1.7.1.14	The solution should provide the ability to re-prescribe medication by allowing a prior prescription to be reordered without re-entering previous data (e.g. administration schedule, quantity).	Unknown	Unknown
	HL7 DC 1.7.1.15	"The solution should provide the ability to re-prescribe a medication from a prior prescription using the same dosage but allow for editing of details adequate for correct
filling and administration of medication (e.g. dose, frequency, body weight)."	Unknown	Unknown
	HL7 DC 1.7.1.16	The solution should conform to function DC.2.3.1.1 (Support for Drug Interaction Checking) and check and report allergies, drug-drug interactions, and other potential adverse reactions, when new medications are ordered.	Unknown	Unknown
	HL7 DC 1.7.1.17	The solution should conform to function DC.2.3.1.2 (Support for Patient Specific Dosing and Warnings) and check and report other potential adverse reactions, when new medications are ordered.	Unknown	Unknown
	HL7 DC 1.7.1.18	The solution should provide the ability to create prescriptions in which the weight-specific dose is suggested.	Unknown	Unknown
	HL7 DC 1.7.1.19	The solution should conform to function DC.2.3.1.3 (Support for Medication Recommendations).	Unknown	Unknown
	DC 1.7.2	Non-Medication Orders & Referrals Management		
	DC 1.7.2.1	Manage Non-Medication Patient Care Orders		
	HL7 DC 1.7.2.01	The solution should provide the ability to capture nonmedication patient care orders for an action or item.	Unknown	Unknown
	HL7 DC 1.7.2.01	The solution should provide the ability to capture adequate order detail for correct order fulfillment.	Unknown	Unknown
	HL7 DC 1.7.2.03	The solution should track the status of the ordered action or item.	Unknown	Unknown
	HL7 DC 1.7.2.04	The solution should provide the ability to capture patient instructions necessary for correct order fulfillment.	Unknown	Unknown
	HL7 DC 1.7.2.05	The solution should provide the ability to present patient instructions necessary for correct order fulfillment.	Unknown	Unknown
	HL7 DC 1.7.2.06	The solution should provide the ability to communicate the order to the correct recipient(s) for order fulfillment.	Unknown	Unknown
	HL7 DC 1.7.2.07	The solution should conform to DC.2.4.2 (Support for Non- Medication Ordering).	Unknown	Unknown
	DC 1.7.2.2	Manage Orders for Diagnostic Tests		
	HL7 DC 1.7.2.4.01	The solution should provide the ability to capture orders for diagnostic tests.	Unknown	Unknown
	HL7 DC 1.7.2.4.02	The solution should provide the ability to capture adequate order detail for correct diagnostic test fulfillment.	Unknown	Unknown
	HL7 DC 1.7.2.4.03	The solution should provide the ability to track the status of diagnostic test(s).	Unknown	Unknown
	HL7 DC 1.7.2.4.04	The solution should provide the ability to capture and present patient instructions relevant to the diagnostic test ordered.	Unknown	Unknown
	HL7 DC 1.7.2.4.05	The solution should communicate orders to the service provider of the diagnostic test.	Unknown	Unknown
	HL7 DC 1.7.2.4.06	The solution should communicate supporting detailed documentation to the correct service provider of the diagnostic test.	Unknown	Unknown
	HL7 DC 1.7.2.4.07	The solution should conform to DC.2.4.2 (Support for Non-Medication Ordering).	Unknown	Unknown
	DC 1.7.2.3	Manage Orders for Blood Products & Other Biologics		
	HL7 DC 1.7.2.3.01	The solution should provide the ability to interface with solutions of blood banks or other sources to manage orders for blood products or other biologics.	Unknown	Unknown
	HL7 DC 1.7.2.3.02	The solution should provide the ability to capture use of such products in the provision of care.	Unknown	Unknown
	HL7 DC 1.7.2.3.03	The solution should to function S.1.1 (Registry Notification).	Unknown	Unknown
	DC 1.7.2.4	Manage Referrals		
	HL7 DC 1.7.2.4.01	The solution should provide the ability to capture and communicate referral(s) to other care provider (s), whether internal or external to the organization.	Unknown	Unknown
	HL7 DC 1.7.2.4.02	The solution should provide the ability to capture clinical details as necessary for the referral.	Unknown	Unknown
