keyword,count,cluster
bidirectional long shortterm memory,1,1
transformer encoder,1,-1
tokenized,1,-1
syntactics,1,1
similar codes,1,1
semantic gap,1,1
selfsupervised learning,1,1
retrieval results,1,1
neural machine translation,1,1
computing education programs,1,1
model performance,1,1
meaning of codes,1,1
machine translation,1,1
long shortterm memory unit,1,-1
input code,1,1
graph neural networks,1,1
gated recurrent unit,1,-1
contrastive learning,1,1
coding sequence,1,1
code representation,1,1
software organization and properties,1,1
retrieval models and ranking,1,1
human computer interaction hci,1,1
natural languages,1,1
hardware configuration,1,1
configuration options,1,-1
collaborative interaction,1,1
collaboration,1,2
cluster nodes,1,-1
image analysis,1,1
browsers,1,1
3d visualization,1,1
3d software,1,1
3d,1,1
2d space,1,-1
use of constructs,1,-1
high level of correlation,1,-1
test failure,1,1
successful task performance,1,1
student understanding,1,1
selfexplanation,1,-1
proposals,1,-1
programming knowledge,1,1
programming education,1,1
program context,1,1
program code,1,1
probes,1,1
plagiarism,1,-1
multiplechoice questions,1,-1
intelligent tutoring systems,1,1
tutoring systems,1,1
changepatterns,1,-1
change impact analysis,1,-1
boosting method,1,1
boosting,1,1
average recall,1,-1
average precision,1,-1
analysis of the impact,1,-1
—software visualization,1,1
webbased visualization,1,1
webbased tool,1,1
web,1,1
visual devices,1,1
virtually,1,-1
hardware setup,1,1
virtual reality,1,1
virtual camera,1,1
urban areas,1,-1
single monitoring,1,-1
scientific visualization,1,1
projector,1,1
projection matrix,1,-1
multiple outputs,1,-1
multiple devices,1,1
monitoring,1,1
main nodes,1,-1
immersive environment,1,1
headmounted display,1,-1
virtual reality devices,1,1
java application,1,1
irrelevant details,1,-1
interference,1,-1
intelligent systems,1,1
implementation of applications,1,1
frameworks aim,1,-1
flow data,1,1
execution path,1,-1
entry point,1,-1
detailed diagram,1,1
control flow,1,1
call sequences,1,1
application in order,1,1
automatic system,1,1
plot diagram,1,1
class structure,1,1
call graph,1,1
c programming,1,1
visual inspection,1,1
text data,1,1
supervised learning,1,1
sparks,1,-1
predictive maintenance,1,1
numerical data,1,1
knowledge acquisition,1,1
inspection,1,1
impaired mechanisms,1,-1
agile development,1,1
automatic question generation,1,1
automatic generation,1,1
automatic assessment,1,1
assessment items,1,1
active learning,1,1
visual debugging,1,1
visual debugger,1,1
visual components,1,1
text representation,1,1
software visualization,1,1
program execution,1,1
parts list,1,-1
part of maintenance,1,1
maintenance tasks,1,1
objects in the world,1,-1
intellij idea plugin,1,-1
integrated development environment,1,1
information for more details,1,-1
current scope,1,-1
costs,1,-1
application programming interface,1,1
understanding of system,1,1
understanding of applications,1,1
uml reverse engineering,1,1
return value,1,-1
program analysis,1,1
open application,1,1
opensource tool,1,1
